case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_slip,-4.959049940109253,,5,0,0.0,True,3,0,31564
002,no_slip,-3.5041396617889404,,5,0,0.0,True,4,0,33122
003,no_slip,-3.134526014328003,,5,0,0.0,True,4,0,33199
004,no_slip,-6.6301116943359375,,5,0,0.0,True,5,2,34262
005,no_slip,-6.2311859130859375,,5,0,0.0,True,5,0,36000
006,no_slip,-5.4508819580078125,,5,0,0.0,True,3,0,35654
007,no_slip,-11.658258438110352,,4,0,0.0,True,4,0,34227
008,no_slip,-4.444742202758789,,5,0,0.0,True,5,1,36863
009,no_slip,-4.950687408447266,,5,0,0.0,True,5,0,35177
010,no_slip,-10.076349258422852,,5,0,0.0,True,4,0,34836
011,no_slip,-3.283937454223633,,5,2,0.4,True,3,0,34249
012,no_slip,-9.670894622802734,,5,0,0.0,True,5,1,37720
013,no_slip,-3.3845176696777344,,5,0,0.0,True,5,1,37742
014,no_slip,-8.053489685058594,,5,0,0.0,True,5,1,37457
015,no_slip,-10.643351554870605,,5,0,0.0,True,5,0,34435
016,no_slip,-14.549540519714355,,5,0,0.0,True,5,0,36063
017,no_slip,-7.4900007247924805,,5,0,0.0,True,4,0,34997
018,no_slip,-2.149190902709961,,5,0,0.0,True,2,0,33610
019,no_slip,-3.493206024169922,,5,0,0.0,True,3,0,32628
020,no_slip,-2.4379501342773438,,5,0,0.0,True,4,0,35682
021,no_slip,-4.248908996582031,,5,0,0.0,True,2,0,34583
022,no_slip,-7.392616271972656,,5,0,0.0,True,4,0,34000
023,no_slip,-3015165152.7336826,,5,0,0.0,True,4,3,38597
024,no_slip,-3.288806915283203,,4,0,0.0,True,3,2,30507
025,no_slip,-8.870079040527344,,5,0,0.0,True,5,1,35615
026,no_slip,-19.726364135742188,,5,0,0.0,True,2,1,32447
027,no_slip,-7.707094192504883,,5,0,0.0,True,3,0,33420
028,no_slip,-7.790651321411133,,5,0,0.0,True,5,1,36805
029,no_slip,-2.739093780517578,,5,0,0.0,True,4,2,35177
030,no_slip,-4.578418731689453,,5,0,0.0,True,4,1,36902
031,no_slip,-7.339113235473633,,5,0,0.0,True,5,3,37797
032,no_slip,-1.094757080078125,,4,0,0.0,True,3,3,31165
033,no_slip,-2.7364501953125,,5,1,0.2,True,4,2,36896
034,no_slip,-3.439472198486328,,5,0,0.0,True,3,2,35886
035,no_slip,-4.367143630981445,,5,0,0.0,True,2,0,32757
036,no_slip,-0.16717910766601562,,5,0,0.0,True,0,1,33187
037,no_slip,-9.663703918457031,,5,0,0.0,True,3,1,33605
038,no_slip,-3.3967971801757812,,5,0,0.0,True,5,1,35350
039,no_slip,-7.450054168701172,,5,0,0.0,True,4,0,34623
040,no_slip,-5.747974395751953,,2,0,0.0,True,2,0,10294
041,no_slip,,,0,0,0,False,0,0,0
042,no_slip,,,0,0,0,False,0,0,0
043,no_slip,,,0,0,0,False,0,0,0
044,no_slip,,,0,0,0,False,0,0,0
045,no_slip,,,0,0,0,False,0,0,0
046,no_slip,,,0,0,0,False,0,0,0
047,no_slip,,,0,0,0,False,0,0,0
048,no_slip,,,0,0,0,False,0,0,0
049,no_slip,,,0,0,0,False,0,0,0
050,no_slip,,,0,0,0,False,0,0,0
001,no_forbid,,,0,0,0,False,0,0,0
002,no_forbid,,,0,0,0,False,0,0,0
003,no_forbid,,,0,0,0,False,0,0,0
004,no_forbid,,,0,0,0,False,0,0,0
005,no_forbid,,,0,0,0,False,0,0,0
006,no_forbid,,,0,0,0,False,0,0,0
007,no_forbid,,,0,0,0,False,0,0,0
008,no_forbid,,,0,0,0,False,0,0,0
009,no_forbid,,,0,0,0,False,0,0,0
010,no_forbid,,,0,0,0,False,0,0,0
011,no_forbid,,,0,0,0,False,0,0,0
012,no_forbid,,,0,0,0,False,0,0,0
013,no_forbid,,,0,0,0,False,0,0,0
014,no_forbid,,,0,0,0,False,0,0,0
015,no_forbid,,,0,0,0,False,0,0,0
016,no_forbid,,,0,0,0,False,0,0,0
017,no_forbid,,,0,0,0,False,0,0,0
018,no_forbid,,,0,0,0,False,0,0,0
019,no_forbid,,,0,0,0,False,0,0,0
020,no_forbid,,,0,0,0,False,0,0,0
021,no_forbid,,,0,0,0,False,0,0,0
022,no_forbid,,,0,0,0,False,0,0,0
