case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
001,research/agent_eval/generated_slabs/ocd_gmae_rep50/001_ocd_596_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-4.743168592453003,1,1,1,0,0,0,1,bridge,False,74.3424395173788,4688,1327,research/results/canonical_raw/ocd_rep50_grok4_ablation/001/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/001/artifacts/relaxation.traj
002,research/agent_eval/generated_slabs/ocd_gmae_rep50/002_ocd_768_Ga24Y24_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.3241164684295654,1,1,1,0,0,0,1,bridge,False,622.1393546499312,4730,1340,research/results/canonical_raw/ocd_rep50_grok4_ablation/002/artifacts/BEST_H_ontop_to_bridge_E-3.324.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/002/artifacts/relaxation.traj
003,research/agent_eval/generated_slabs/ocd_gmae_rep50/003_ocd_775_Na12Pb36_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.086521863937378,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,177.66073731333017,4735,1265,research/results/canonical_raw/ocd_rep50_grok4_ablation/003/artifacts/BEST_H_ontop_to_hollow_FCC-No-Subsurf_E-3.087.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/003/artifacts/relaxation.traj
004,research/agent_eval/generated_slabs/ocd_gmae_rep50/004_ocd_479_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.576652526855469,1,1,1,0,0,0,1,bridge,False,170.47604058682919,5018,1623,research/results/canonical_raw/ocd_rep50_grok4_ablation/004/artifacts/BEST_OH_ontop_to_bridge_E-6.577.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/004/artifacts/relaxation.traj
005,research/agent_eval/generated_slabs/ocd_gmae_rep50/005_ocd_513_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.0458221435546875,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,357.1714500375092,5106,1604,research/results/canonical_raw/ocd_rep50_grok4_ablation/005/artifacts/BEST_OH_bridge_to_hollow_HCP-Subsurf-Atom_E-6.046.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/005/artifacts/relaxation.traj
006,research/agent_eval/generated_slabs/ocd_gmae_rep50/006_ocd_439_Ca16Pb16Pd16_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-3.9469375610351562,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,194.239853605628,5086,1538,research/results/canonical_raw/ocd_rep50_grok4_ablation/006/artifacts/BEST_OH_ontop_to_hollow_FCC-No-Subsurf_E-3.947.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/006/artifacts/relaxation.traj
007,research/agent_eval/generated_slabs/ocd_gmae_rep50/007_ocd_735_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-10.631900787353516,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,477.96457789093256,5106,1627,research/results/canonical_raw/ocd_rep50_grok4_ablation/007/artifacts/BEST_NH2_bridge_to_hollow_FCC-No-Subsurf_E-10.632.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/007/artifacts/relaxation.traj
008,research/agent_eval/generated_slabs/ocd_gmae_rep50/008_ocd_491_Ca24Zn48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,736.0568834543228,4885,1470,research/results/canonical_raw/ocd_rep50_grok4_ablation/008/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_DISS_E-5.047.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/008/artifacts/relaxation.traj
009,research/agent_eval/generated_slabs/ocd_gmae_rep50/009_ocd_208_Al20Au20Y20_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-3.9963321685791016,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,595.8619049191475,5135,1833,research/results/canonical_raw/ocd_rep50_grok4_ablation/009/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_E-3.996.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/009/artifacts/relaxation.traj
010,research/agent_eval/generated_slabs/ocd_gmae_rep50/010_ocd_70_As48Hf48Ni48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-8.993228912353516,1,1,1,0,0,0,0,bridge,False,498.77990059927106,5027,1404,research/results/canonical_raw/ocd_rep50_grok4_ablation/010/artifacts/BEST_NH2_bridge_E-8.993.xyz,,research/results/canonical_raw/ocd_rep50_grok4_ablation/010/artifacts/relaxation.traj
