case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.743168592453003,0.0,3,0,0.0,True,2,0,21445
001,no_slip,-4.743168592453003,,3,0,0.0,True,2,0,20328
001,no_forbid,-4.743199110031128,,3,0,0.0,True,2,0,20821
001,no_termination,-4.959049940109253,,5,0,0.0,True,3,0,26145
002,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,29573
002,no_slip,-3.5041396617889404,,5,0,0.0,True,4,0,26265
002,no_forbid,-3.5041396617889404,,5,0,0.0,True,4,0,28996
002,no_termination,-3.5041396617889404,,5,0,0.0,True,4,0,28210
003,full,-3.134526014328003,0.0,4,0,0.0,True,3,0,29210
003,no_slip,-3.1345107555389404,,4,0,0.0,True,3,0,26201
003,no_forbid,-3.134526014328003,,3,0,0.0,True,2,0,21906
003,no_termination,-3.134526014328003,,5,0,0.0,True,4,0,28465
004,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,29931
004,no_slip,-7.2280120849609375,,5,0,0.0,True,4,1,26859
004,no_forbid,-7.2280120849609375,,5,0,0.0,True,4,1,30254
004,no_termination,-7.2280120849609375,,5,0,0.0,True,4,1,29144
005,full,-6.176261901855469,0.0,3,0,0.0,True,2,0,23069
005,no_slip,-6.2310638427734375,,4,0,0.0,True,3,0,27652
005,no_forbid,-6.2311553955078125,,5,0,0.0,True,4,0,28815
005,no_termination,-6.2310028076171875,,5,0,0.0,True,4,0,28989
006,full,-5.4748687744140625,0.0,5,0,0.0,True,3,0,27962
006,no_slip,-5.4770660400390625,,5,0,0.0,True,2,0,26944
006,no_forbid,-4.571258544921875,,3,0,0.0,True,1,0,21812
006,no_termination,-5.4723052978515625,,5,0,0.0,True,2,0,26102
007,full,-11.658075332641602,0.0,4,0,0.0,True,4,0,31189
007,no_slip,-11.654901504516602,,4,0,0.0,True,4,0,26778
007,no_forbid,-11.654779434204102,,4,0,0.0,True,4,0,30794
007,no_termination,-11.659601211547852,,4,0,0.0,True,4,0,48661
008,full,-4.546131134033203,0.0,5,0,0.0,True,4,0,29522
008,no_slip,-4.546131134033203,,5,0,0.0,True,4,1,26217
008,no_forbid,-4.546131134033203,,5,0,0.0,True,4,0,27890
008,no_termination,-4.546131134033203,,5,0,0.0,True,4,1,28245
009,full,-4.700778961181641,0.0,5,0,0.0,True,5,0,30309
009,no_slip,-5.017307281494141,,5,0,0.0,True,4,0,25902
009,no_forbid,-4.937219619750977,,5,0,0.0,True,5,0,28957
009,no_termination,-4.938257217407227,,5,0,0.0,True,4,0,28496
010,full,-10.075138092041016,0.0,5,0,0.0,True,3,0,27909
010,no_slip,-10.075138092041016,,5,0,0.0,True,2,0,26540
010,no_forbid,-10.075138092041016,,5,0,0.0,True,3,0,28194
010,no_termination,-10.075260162353516,,5,0,0.0,True,2,0,26634
011,full,-3.283937454223633,0.0,2,0,0.0,True,2,0,15249
011,no_slip,-3.2839298248291016,,2,0,0.0,True,2,0,14256
011,no_forbid,-3.283937454223633,,3,0,0.0,True,3,0,20703
011,no_termination,-3.283937454223633,,5,2,0.4,True,3,0,30917
012,full,-9.668575286865234,0.0,5,0,0.0,True,4,0,31903
012,no_slip,-9.668575286865234,,5,0,0.0,True,5,2,30283
012,no_forbid,-9.668697357177734,,5,0,0.0,True,4,1,31879
012,no_termination,-9.668331146240234,,5,0,0.0,True,4,0,30751
013,full,-3.3845252990722656,0.0,5,0,0.0,True,5,2,35336
013,no_slip,-3.3456077575683594,,5,0,0.0,True,5,2,27296
013,no_forbid,-3.3845176696777344,,5,0,0.0,True,5,2,31752
013,no_termination,-3.345592498779297,,5,0,0.0,True,5,2,29735
014,full,-7.854701995849609,0.0,5,0,0.0,True,4,1,31986
014,no_slip,-7.854701995849609,,5,0,0.0,True,4,0,29577
014,no_forbid,-7.563686370849609,,5,0,0.0,True,4,1,31925
014,no_termination,-7.724544525146484,,5,0,0.0,True,5,1,32469
015,full,-10.643351554870605,0.0,4,0,0.0,True,3,0,29407
015,no_slip,-10.208537101745605,,5,0,0.0,True,5,0,28002
015,no_forbid,-10.606913566589355,,5,0,0.0,True,4,0,30322
015,no_termination,-10.643351554870605,,5,0,0.0,True,4,0,28209
016,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,31375
016,no_slip,-14.549540519714355,,4,0,0.0,True,4,0,26839
016,no_forbid,-14.549540519714355,,5,0,0.0,True,5,0,29767
016,no_termination,-14.549540519714355,,5,0,0.0,True,5,0,30305
017,full,-7.4804487228393555,0.0,3,0,0.0,True,2,0,22117
017,no_slip,-8.466697692871094,,5,0,0.0,True,4,0,27477
017,no_forbid,-7.477747917175293,,3,0,0.0,True,2,0,21577
017,no_termination,-8.466484069824219,,5,0,0.0,True,4,0,27822
018,full,-2.113170623779297,0.0,5,0,0.0,True,3,0,28101
018,no_slip,-2.113170623779297,,5,0,0.0,True,3,1,25922
018,no_forbid,-2.113140106201172,,5,0,0.0,True,3,1,26265
018,no_termination,-2.113170623779297,,5,0,0.0,True,2,0,24240
019,full,-3.493144989013672,0.0,5,0,0.0,True,3,0,26314
019,no_slip,-3.493206024169922,,5,0,0.0,True,2,0,25530
019,no_forbid,-3.549367904663086,,5,0,0.0,True,3,0,25862
019,no_termination,-3.479452133178711,,5,0,0.0,True,3,0,27058
020,full,-2.7164840698242188,0.0,5,0,0.0,True,4,0,29892
020,no_slip,-2.7164840698242188,,2,0,0.0,True,2,0,15550
020,no_forbid,-2.7164840698242188,,5,0,0.0,True,4,0,29913
020,no_termination,-2.7175064086914062,,5,0,0.0,True,4,0,28350
021,full,-4.417228698730469,0.0,5,0,0.0,True,3,0,30157
021,no_slip,-4.417152404785156,,5,0,0.0,True,3,0,27204
021,no_forbid,-4.241508483886719,,5,0,0.0,True,2,0,28305
021,no_termination,-4.877708435058594,,5,0,0.0,True,3,0,27881
