canonical_dir,source_dir,variant,case_id,action
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,001,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,002,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,003,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,004,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,005,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,006,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,007,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,008,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,009,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,010,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,011,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,012,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,013,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,014,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,015,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,016,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,017,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,018,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,019,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,020,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,021,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,022,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,023,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,024,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,025,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,026,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,027,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,028,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,029,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,030,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,031,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,032,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,033,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,034,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,035,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,036,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,037,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,038,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,039,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,040,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,041,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,042,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,043,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,044,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,045,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_vertex_full,full,046,copied
