canonical_dir,kind,backend,summary_rows,single_shot_rows,case_count,variant_count,result_json_count,sources
ocd_rep50_gemini_ablation,rep50_ablation_plus_single_shot,Gemini 2.5 Pro,200,50,50,5,250,ocd_gmae_rep50_gemini_vertex_full;ocd_gmae_rep50_gemini_vertex_mechanism;ocd_gmae_rep50_gemini_one_shot
ocd_rep50_grok4_ablation,rep50_ablation_plus_single_shot,Grok-4,200,50,50,5,250,ocd_gmae_rep50_xai_grok4_full_rerun;ocd_gmae_rep50_xai_grok4_mechanism_rerun;ocd_gmae_rep50_grok4_one_shot
ocd_rep50_openai_gpt54_ablation,rep50_ablation_plus_single_shot,GPT-5.4,200,50,50,5,250,ocd_gmae_rep50_openai_gpt54_full;ocd_gmae_rep50_openai_gpt54_mechanism;ocd_gmae_rep50_openai_gpt54_one_shot
ocd_rep50_anthropic_sonnet46_ablation,rep50_ablation_plus_single_shot,Claude Sonnet 4.6,200,50,50,5,250,ocd_gmae_rep50_anthropic_sonnet46_full;ocd_gmae_rep50_anthropic_sonnet46_mechanism;ocd_gmae_rep50_anthropic_sonnet46_one_shot
ocd_rep50_random_baseline_n20,rep50_random_baseline,,50,,50,,50,random_baseline_ocd_rep50_n20
ocd_rep50_heuristic_baseline,rep50_heuristic_baseline,,50,,50,,50,heuristic_baseline_ocd_rep50
ocd24_random_baseline_n20,ocd24_random_baseline,,24,,24,,24,random_baseline_ocd24_n20
ocd24_heuristic_baseline,ocd24_heuristic_baseline,,24,,24,,24,heuristic_baseline_ocd24
ocd24_gemini_one_shot,ocd24_independent_one_shot,,24,,24,,24,ocd_gmae_v1_gemini_one_shot
ocd24_grok4_one_shot,ocd24_independent_one_shot,,24,,24,,24,ocd_gmae_v1_xai_grok4_one_shot
ocd24_openai_gpt54_one_shot,ocd24_independent_one_shot,,24,,24,,24,ocd_gmae_v1_openai_gpt54_one_shot
ocd24_anthropic_sonnet46_one_shot,ocd24_independent_one_shot,,24,,24,,24,ocd_gmae_v1_anthropic_sonnet46_one_shot
