case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
008,no_slip,-4.546131134033203,,5,0,0.0,True,4,1,33466
010,no_slip,-9.978092193603516,,3,0,0.0,True,1,0,25565
011,no_slip,-3.283937454223633,,2,0,0.0,True,2,0,17553
012,no_slip,-9.671260833740234,,5,0,0.0,True,4,1,37601
013,no_slip,-2.759845733642578,,4,0,0.0,True,4,2,37000
014,no_slip,-7.854701995849609,,5,0,0.0,True,5,1,36769
015,no_slip,-10.643351554870605,,5,0,0.0,True,4,0,33901
017,no_slip,-8.466606140136719,,5,0,0.0,True,4,0,34286
018,no_slip,-2.113170623779297,,5,0,0.0,True,2,0,30623
021,no_slip,-4.105583190917969,,5,0,0.0,True,2,0,32961
022,no_slip,-7.176612854003906,,5,0,0.0,True,4,0,32679
023,no_slip,-4.346961975097656,,5,0,0.0,True,5,4,35067
