case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,,,0,0,0,False,0,0,0
002,full,,,0,0,0,False,0,0,0
003,full,,,0,0,0,False,0,0,0
004,full,,,0,0,0,False,0,0,0
005,full,,,0,0,0,False,0,0,0
006,full,,,0,0,0,False,0,0,0
007,full,,,0,0,0,False,0,0,0
008,full,,,0,0,0,False,0,0,0
009,full,,,0,0,0,False,0,0,0
010,full,,,0,0,0,False,0,0,0
011,full,,,0,0,0,False,0,0,0
012,full,,,0,0,0,False,0,0,0
013,full,,,0,0,0,False,0,0,0
014,full,,,0,0,0,False,0,0,0
015,full,,,0,0,0,False,0,0,0
016,full,,,0,0,0,False,0,0,0
017,full,,,0,0,0,False,0,0,0
018,full,,,0,0,0,False,0,0,0
019,full,,,0,0,0,False,0,0,0
020,full,,,0,0,0,False,0,0,0
021,full,,,0,0,0,False,0,0,0
022,full,,,0,0,0,False,0,0,0
023,full,,,0,0,0,False,0,0,0
024,full,,,0,0,0,False,0,0,0
025,full,,,0,0,0,False,0,0,0
026,full,,,0,0,0,False,0,0,0
027,full,,,0,0,0,False,0,0,0
028,full,,,0,0,0,False,0,0,0
029,full,,,0,0,0,False,0,0,0
030,full,,,0,0,0,False,0,0,0
031,full,,,0,0,0,False,0,0,0
032,full,,,0,0,0,False,0,0,0
033,full,,,0,0,0,False,0,0,0
034,full,,,0,0,0,False,0,0,0
035,full,,,0,0,0,False,0,0,0
036,full,,,0,0,0,False,0,0,0
037,full,,,0,0,0,False,0,0,0
038,full,,,0,0,0,False,0,0,0
039,full,,,0,0,0,False,0,0,0
040,full,,,0,0,0,False,0,0,0
041,full,,,0,0,0,False,0,0,0
042,full,,,0,0,0,False,0,0,0
043,full,,,0,0,0,False,0,0,0
044,full,,,0,0,0,False,0,0,0
045,full,,,0,0,0,False,0,0,0
046,full,,,0,0,0,False,0,0,0
047,full,,,0,0,0,False,0,0,0
048,full,,,0,0,0,False,0,0,0
049,full,,,0,0,0,False,0,0,0
050,full,,,0,0,0,False,0,0,0
