case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,single_shot,-4.743199110031128,,1,0,0.0,True,1,0,7653
002,single_shot,-6.576652526855469,,1,0,0.0,True,1,0,8328
006,single_shot,-7.403881072998047,,1,0,0.0,True,0,0,9776
007,single_shot,-10.710914611816406,,1,0,0.0,True,0,0,10610
008,single_shot,-4.346961975097656,,1,0,0.0,True,1,0,8561
009,single_shot,,,1,0,0.0,False,1,1,8056
010,single_shot,-7.707033157348633,,1,0,0.0,True,1,0,9826
011,single_shot,,,1,0,0.0,False,0,1,12751
014,single_shot,-5.20787239074707,,1,0,0.0,True,1,0,8028
018,single_shot,-6.991722106933594,,1,0,0.0,True,1,0,7758
020,single_shot,-6.176261901855469,,1,0,0.0,True,1,0,9450
021,single_shot,-3.2959938049316406,,1,0,0.0,True,1,0,9289
022,single_shot,-2.735858917236328,,1,0,0.0,True,1,0,9076
