case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
017,no_forbid,-8.466743469238281,,5,0,0.0,True,4,0,40667
018,no_forbid,-2.149404525756836,,5,0,0.0,True,2,0,36916
019,no_forbid,-3.549367904663086,,5,0,0.0,True,3,0,39998
020,no_forbid,-2.7164840698242188,,5,0,0.0,True,5,0,44288
021,no_forbid,-4.242912292480469,,5,0,0.0,True,2,0,41694
022,no_forbid,-7.176612854003906,,5,0,0.0,True,4,0,42167
023,no_forbid,-4.346961975097656,,5,0,0.0,True,5,4,45067
025,no_forbid,-8.408592224121094,,5,0,0.0,True,5,2,45745
026,no_forbid,-19.718246459960938,,5,1,0.2,True,1,0,38989
027,no_forbid,-7.707033157348633,,5,0,0.0,True,3,0,42830
028,no_forbid,-7.811891555786133,,5,0,0.0,True,5,1,44097
029,no_forbid,-2.719514846801758,,5,0,0.0,True,4,3,43331
030,no_forbid,-4.578388214111328,,5,0,0.0,True,5,0,56195
031,no_forbid,-7.339601516723633,,5,0,0.0,True,5,1,44304
032,no_forbid,-1.094757080078125,,5,3,0.6,True,1,1,44674
033,no_forbid,-3.01446533203125,,5,0,0.0,True,3,1,46978
034,no_forbid,-3.439350128173828,,5,0,0.0,True,1,0,44635
035,no_forbid,-4.381780624389648,,5,0,0.0,True,0,0,41132
036,no_forbid,-0.16718101501464844,,5,0,0.0,True,2,3,41205
037,no_forbid,-10.361473083496094,,5,0,0.0,True,3,1,43806
038,no_forbid,-3.3851699829101562,,5,0,0.0,True,4,1,42425
039,no_forbid,-7.38249397277832,,3,0,0.0,True,2,0,29116
040,no_forbid,-5.74797248840332,,5,1,0.2,True,4,1,47356
041,no_forbid,-4.055267333984375,,5,0,0.0,True,5,1,43089
042,no_forbid,-2.2128028869628906,,5,0,0.0,True,4,1,45206
043,no_forbid,-3.1455345153808594,,5,2,0.4,True,3,2,39450
044,no_forbid,-5.087837219238281,,5,0,0.0,True,3,0,44016
045,no_forbid,-2.8482284545898438,,5,0,0.0,True,3,0,40202
046,no_forbid,-8.322032928466797,,5,0,0.0,True,3,0,38937
047,no_forbid,-10.486995697021484,,5,0,0.0,True,4,1,37680
048,no_forbid,-2.9037342071533203,,2,0,0.0,True,2,0,24338
049,no_forbid,-8.628135681152344,,5,0,0.0,True,5,0,44576
050,no_forbid,-11.695304870605469,,5,0,0.0,True,3,0,39409
