case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
039,full,-7.434551239013672,0.0,5,0,0.0,True,4,0,56350
040,full,-5.747974395751953,0.0,5,0,0.0,True,5,0,54438
041,full,-3.876556396484375,0.0,5,0,0.0,True,5,2,55649
042,full,-1.855987548828125,0.0,5,0,0.0,True,4,1,55337
043,full,,,4,3,0.75,False,1,1,47434
044,full,-5.085487365722656,0.0,5,0,0.0,True,3,0,59639
045,full,-2.8500900268554688,0.0,5,0,0.0,True,3,0,54527
046,full,-8.322032928466797,0.0,5,0,0.0,True,3,0,47259
047,full,-10.486995697021484,0.0,5,0,0.0,True,4,1,45934
048,full,-2.9037342071533203,0.0,5,0,0.0,True,4,0,49161
049,full,-8.627861022949219,0.0,5,0,0.0,True,5,0,57211
050,full,-11.695274353027344,0.0,5,0,0.0,True,3,0,46911
