case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_slip,-4.959049940109253,,5,0,0.0,True,3,0,43739
002,no_slip,-3.5041396617889404,,5,0,0.0,True,4,0,44167
003,no_slip,-3.134526014328003,,5,0,0.0,True,4,0,47242
004,no_slip,-6.6301116943359375,,5,0,0.0,True,5,2,47154
005,no_slip,-6.2311553955078125,,5,0,0.0,True,5,0,50519
006,no_slip,-4.624176025390625,,5,0,0.0,True,2,0,47059
007,no_slip,-11.654779434204102,,4,0,0.0,True,4,0,46719
008,no_slip,-4.444711685180664,,5,0,0.0,True,5,1,45833
009,no_slip,-5.017307281494141,,5,0,0.0,True,4,0,46275
010,no_slip,-9.262506484985352,,2,0,0.0,True,1,0,16279
011,no_slip,-3.283937454223633,,5,2,0.4,True,3,0,48843
012,no_slip,-9.668575286865234,,5,0,0.0,True,5,1,57120
013,no_slip,-3.3845176696777344,,5,0,0.0,True,5,1,62352
014,no_slip,-7.724544525146484,,5,0,0.0,True,5,2,56439
015,no_slip,-10.118144035339355,,5,0,0.0,True,5,0,49667
016,no_slip,-14.549540519714355,,5,0,0.0,True,5,0,50502
017,no_slip,-8.466667175292969,,5,0,0.0,True,4,0,46375
018,no_slip,-2.113170623779297,,5,0,0.0,True,2,0,49784
019,no_slip,-3.493175506591797,,5,0,0.0,True,3,0,50996
020,no_slip,-2.7164840698242188,,2,0,0.0,True,2,0,18492
021,no_slip,-4.417167663574219,,5,0,0.0,True,3,0,51928
022,no_slip,-6.716285705566406,,5,0,0.0,True,5,0,52158
023,no_slip,-4.346961975097656,,5,0,0.0,True,4,4,48910
024,no_slip,-3.288808822631836,,5,0,0.0,True,5,0,48978
025,no_slip,-7.9674224853515625,,5,0,0.0,True,5,2,45918
026,no_slip,-19.925071716308594,,5,0,0.0,True,1,0,41746
027,no_slip,-7.707094192504883,,5,0,0.0,True,3,0,54973
028,no_slip,-7.811891555786133,,5,0,0.0,True,5,1,55613
029,no_slip,-2.739093780517578,,5,0,0.0,True,4,2,61051
030,no_slip,-4.292024612426758,,5,0,0.0,True,4,1,57629
031,no_slip,-7.339601516723633,,5,0,0.0,True,5,2,55780
032,no_slip,-1.094757080078125,,5,0,0.0,True,4,4,63972
033,no_slip,-2.73760986328125,,5,1,0.2,True,3,2,53250
034,no_slip,-3.439350128173828,,5,0,0.0,True,3,2,52477
035,no_slip,-4.36711311340332,,5,0,0.0,True,1,0,47977
036,no_slip,-0.16718101501464844,,5,0,0.0,True,1,2,49780
037,no_slip,-9.236335754394531,,4,0,0.0,True,2,1,31580
038,no_slip,-3.3852310180664062,,5,0,0.0,True,4,1,48411
039,no_slip,-7.434549331665039,,5,0,0.0,True,4,0,48871
040,no_slip,-5.74797248840332,,5,0,0.0,True,3,0,49095
