case_id,smiles,adsorbate_name,surface_family,gemini_energy_eV,grok4_energy_eV,energy_delta_gemini_minus_grok4_eV,gemini_tokens_total,grok4_tokens_total,token_delta_gemini_minus_grok4,gemini_slip_count,grok4_slip_count,gemini_final_site_type,grok4_final_site_type,gemini_status,grok4_status
01,[H],H,intermetallic,-3.5663492679595947,-3.6311686038970947,0.0648193359375,6420,6419,1,1,0,bridge,hollow (HCP/Subsurf-Atom),success,success
02,[N]=[NH],NNH,intermetallic,-4.333539962768555,-4.150495529174805,-0.18304443359375,6987,6507,480,1,1,hollow (FCC/No-Subsurf),hollow (HCP/Subsurf-Atom),success,success
03,[H],H,intermetallic,-3.3467447757720947,-3.3467142581939697,-3.0517578125e-05,7792,5777,2015,0,0,hollow (FCC/No-Subsurf),hollow (FCC/No-Subsurf),success,success
04,[N]=[NH],NNH,intermetallic,-1.6579418182373047,-1.6579418182373047,0.0,7278,3201,4077,1,1,hollow (FCC/No-Subsurf),hollow (FCC/No-Subsurf),success,success
05,[H],H,intermetallic,-2.9469187259674072,-2.9469187259674072,0.0,8237,6022,2215,0,0,hollow (HCP/Subsurf-Atom),hollow (HCP/Subsurf-Atom),success,success
06,[N]=[NH],NNH,intermetallic,-2.0482616424560547,-1.7266368865966797,-0.321624755859375,9126,6163,2963,1,1,hollow (HCP/Subsurf-Atom),hollow (FCC/No-Subsurf),success,success
07,[H],H,intermetallic,-6.922611474990845,-6.922611474990845,0.0,6533,6047,486,1,1,ontop,ontop,success,success
08,[N]=[NH],NNH,intermetallic,-6.396268844604492,-7.355390548706055,0.9591217041015625,8309,6718,1591,1,1,bridge,hollow (HCP/Subsurf-Atom),success,success
09,[OH],OH,monometallic,-1.8013858795166016,-1.9739322662353516,0.17254638671875,6784,6511,273,0,0,ontop,bridge,success,success
10,[OH],OH,monometallic,-2.1220951080322266,-2.712350845336914,0.5902557373046875,7020,6257,763,0,0,ontop,bridge,success,success
11,[OH],OH,monometallic,-2.3786563873291016,-2.3883914947509766,0.009735107421875,7448,6640,808,1,1,hollow (FCC/No-Subsurf),hollow (HCP/Subsurf-Atom),success,success
12,[OH],OH,monometallic,-1.6070194244384766,-2.080881118774414,0.4738616943359375,7046,6389,657,0,0,ontop,bridge,success,success
13,[OH],OH,monometallic,-2.376436233520508,-2.376443862915039,7.62939453125e-06,6993,6497,496,0,0,bridge,bridge,success,success
14,[OH],OH,intermetallic,-3.2451114654541016,-3.2450809478759766,-3.0517578125e-05,8100,6732,1368,1,1,bridge,bridge,success,success
15,[CH2]CO,CH2CH2OH,intermetallic,-2.888652801513672,-2.5872459411621094,-0.3014068603515625,7543,6890,653,0,1,ontop,bridge,success,success
16,[CH2]CO,CH2CH2OH,intermetallic,-4.537578582763672,-4.551860809326172,0.0142822265625,7063,6044,1019,0,0,ontop,ontop,success,success
17,CC=O,OCHCH3,intermetallic,-2.7732162475585938,-3.0664215087890625,0.29320526123046875,8108,6912,1196,1,1,bridge,hollow (HCP/Subsurf-Atom),success,success
18,CC=O,OCHCH3,intermetallic,-2.4180145263671875,-2.4179840087890625,-3.0517578125e-05,7446,6576,870,1,1,bridge,bridge,success,success
19,CC=O,OCHCH3,intermetallic,-4.029319763183594,-3.5939178466796875,-0.43540191650390625,7197,6740,457,1,1,hollow (HCP/Subsurf-Atom),bridge,success,success
20,CN(C)N=O,ONN(CH3)2,intermetallic,-10.604454040527344,-10.602500915527344,-0.001953125,7992,6289,1703,1,1,hollow (HCP/Subsurf-Atom),hollow (HCP/Subsurf-Atom),success,success
