case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
01,benchmark_slabs/01_Mo3Pd_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-3.557255506515503,1,1,1,0,0,0,1,bridge,False,42.533042300492525,3616,1159,research/results/cmu_v1_openai_gpt54_one_shot/01/artifacts/BEST_H_hollow_to_bridge_E-3.557.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/01/artifacts/relaxation.traj
02,benchmark_slabs/02_Mo3Pd_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-4.342861175537109,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,92.6581492125988,3704,1050,research/results/cmu_v1_openai_gpt54_one_shot/02/artifacts/BEST_N_NH_ontop_to_hollow_FCC-No-Subsurf_E-4.343.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/02/artifacts/relaxation.traj
03,benchmark_slabs/03_Pd3Cu_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-3.351963758468628,1,1,1,0,0,0,0,hollow (FCC/No-Subsurf),False,29.005979869514704,3674,1074,research/results/cmu_v1_openai_gpt54_one_shot/03/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.352.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/03/artifacts/relaxation.traj
04,benchmark_slabs/04_Pd3Cu_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-2.2427330017089844,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,51.25044276565313,3904,1231,research/results/cmu_v1_openai_gpt54_one_shot/04/artifacts/BEST_N_NH_hollow_to_hollow_FCC-No-Subsurf_E-2.243.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/04/artifacts/relaxation.traj
05,benchmark_slabs/05_Cu3Ag_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-2.8426101207733154,1,1,1,0,0,0,0,hollow (FCC/No-Subsurf),False,39.20240023359656,3617,969,research/results/cmu_v1_openai_gpt54_one_shot/05/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-2.843.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/05/artifacts/relaxation.traj
06,benchmark_slabs/06_Cu3Ag_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,failed,,1,1,0,1,0,0,0,,False,75.20892688259482,3701,1074,research/results/cmu_v1_openai_gpt54_one_shot/06/artifacts/BEST_N_NH_ontop_DISS_E-2.589.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/06/artifacts/relaxation.traj
07,benchmark_slabs/07_Ru3Mo_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-6.883122205734253,1,1,1,0,0,0,1,ontop,False,47.67606819793582,3678,1052,research/results/cmu_v1_openai_gpt54_one_shot/07/artifacts/BEST_H_hollow_to_ontop_E-6.883.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/07/artifacts/relaxation.traj
08,benchmark_slabs/08_Ru3Mo_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,failed,,1,1,0,1,0,0,0,,False,91.01577943190932,3766,993,research/results/cmu_v1_openai_gpt54_one_shot/08/artifacts/BEST_N_NH_ontop_DISS_E-8.466.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/08/artifacts/relaxation.traj
09,benchmark_slabs/09_Pt_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,success,-1.8037338256835938,1,1,1,0,0,0,0,ontop,False,96.33321133628488,3473,1037,research/results/cmu_v1_openai_gpt54_one_shot/09/artifacts/BEST_OH_ontop_E-1.804.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/09/artifacts/relaxation.traj
10,benchmark_slabs/10_Pt_100.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(100),ORR,success,-2.7176666259765625,1,1,1,0,0,0,0,bridge,False,36.52156110852957,3601,1109,research/results/cmu_v1_openai_gpt54_one_shot/10/artifacts/BEST_OH_bridge_E-2.718.xyz,,research/results/cmu_v1_openai_gpt54_one_shot/10/artifacts/relaxation.traj
