case_id,status,smiles,xai_one_shot_best_energy_eV,historical_best_energy_eV,adsorbagent_paper_best_energy_eV,delta_vs_historical_eV,delta_vs_adsorbagent_paper_eV,chemical_slip_count,final_site_type,wall_clock_sec,total_input_tokens,total_output_tokens
01,success,[H],-3.6311686038970947,-2.638,-0.764,-0.9931686038970948,-2.8671686038970945,0,hollow (HCP/Subsurf-Atom),94.14500774996122,4904,1515
02,success,[N]=[NH],-4.150495529174805,-3.937,-1.265,-0.21349552917480485,-2.885495529174805,1,hollow (HCP/Subsurf-Atom),157.7339484160184,4978,1529
03,success,[H],-3.3467142581939697,-3.029,-0.38,-0.3177142581939698,-2.96671425819397,0,hollow (FCC/No-Subsurf),81.04980287502985,4826,951
04,success,[N]=[NH],-1.6579418182373047,-3.442,0.745,1.7840581817626955,-2.402941818237305,1,hollow (FCC/No-Subsurf),165.22415074997116,2841,360
05,error,[H],,-2.558,-0.019,,,0,,17.58669995801756,0,0
06,error,[N]=[NH],,-2.498,1.504,,,0,,17.494327249994967,0,0
07,error,[H],,-3.84,-0.587,,,0,,18.439648250001483,0,0
08,error,[N]=[NH],,-4.821,-0.498,,,0,,18.373236750019714,0,0
09,success,[OH],-1.9739322662353516,-1.932,0.99,-0.04193226623535162,-2.9639322662353518,0,bridge,116.16245966695715,4866,1645
10,error,[OH],,-2.611,0.991,,,0,,16.786155582987703,0,0
11,error,[OH],,-2.421,0.814,,,0,,17.229165958007798,0,0
12,success,[OH],-2.080881118774414,-2.059,1.408,-0.0218811187744139,-3.488881118774414,0,bridge,118.53062800003681,4918,1471
13,success,[OH],-2.376443862915039,-2.859,0.44,0.4825561370849609,-2.816443862915039,0,bridge,121.14131033298327,4968,1529
14,success,[OH],-3.2450809478759766,-2.608,-0.208,-0.6370809478759765,-3.0370809478759764,1,bridge,252.57131316600135,5004,1728
15,success,[CH2]CO,-2.5872459411621094,-3.528,-2.338,0.9407540588378906,-0.2492459411621093,1,bridge,292.4300830839784,5151,1739
16,success,[CH2]CO,-4.551860809326172,-5.135,-2.761,0.5831391906738279,-1.7908608093261718,0,ontop,145.16062799998326,4934,1110
17,success,CC=O,-3.0664215087890625,-2.913,-4.561,-0.1534215087890627,1.4945784912109374,1,hollow (HCP/Subsurf-Atom),129.13733891700394,5287,1625
18,success,CC=O,-2.4179840087890625,-2.881,-4.616,0.4630159912109373,2.198015991210937,1,bridge,109.49886812502518,5158,1418
19,success,CC=O,-3.5939178466796875,-3.977,-5.922,0.38308215332031237,2.328082153320312,1,bridge,114.23250874999212,5311,1429
20,success,CN(C)N=O,-10.602500915527344,-8.992,-3.454,-1.6105009155273429,-7.148500915527343,1,hollow (HCP/Subsurf-Atom),173.01123141602147,5045,1244
