case_id,surface,adsorbate,adsmind_best_energy,adsmind_iterations,adsmind_success,adsmind_slip_count,adsmind_dissociation,adsorbagent_best_energy,adsorbagent_success,adsorbagent_configs_tested,energy_diff,winner,notes
01,01_Mo3Pd_111,H,-3.6311686038970947,1,True,0,0,-0.764,False,6.7,-2.8671686038970945,adsmind,success/lower-energy flags derived from Eq. 3 and Eq. 4 using the paper's mean energies and a 0.1 eV threshold
02,02_Mo3Pd_111,NNH,-4.150495529174805,1,True,1,0,-1.265,False,9.3,-2.885495529174805,adsmind,derived flag columns use paper mean energies
03,03_Pd3Cu_111,H,-3.3467142581939697,1,True,0,0,-0.38,True,16.7,-2.96671425819397,adsmind,derived flag columns use paper mean energies
04,04_Pd3Cu_111,NNH,-1.6579418182373047,1,True,1,0,0.745,False,17.3,-2.402941818237305,adsmind,derived flag columns use paper mean energies
05,05_Cu3Ag_111,H,-2.9469187259674072,1,True,0,0,-0.019,True,21.3,-2.927918725967407,adsmind,derived flag columns use paper mean energies
06,06_Cu3Ag_111,NNH,-1.7266368865966797,1,True,1,0,1.504,True,16.7,-3.2306368865966797,adsmind,derived flag columns use paper mean energies
07,07_Ru3Mo_111,H,-6.922611474990845,1,True,1,0,-0.587,True,17.0,-6.335611474990845,adsmind,derived flag columns use paper mean energies
08,08_Ru3Mo_111,NNH,-7.355390548706055,1,True,1,0,-0.498,False,18.7,-6.8573905487060545,adsmind,derived flag columns use paper mean energies
09,09_Pt_111,OH,-1.9739322662353516,1,True,0,0,0.99,True,7.0,-2.9639322662353518,adsmind,derived flag columns use paper mean energies
10,10_Pt_100,OH,-2.712350845336914,1,True,0,0,0.991,True,10.3,-3.703350845336914,adsmind,derived flag columns use paper mean energies
11,11_Pd_111,OH,-2.3883914947509766,1,True,1,0,0.814,True,20.0,-3.2023914947509766,adsmind,derived flag columns use paper mean energies
12,12_Au_111,OH,-2.080881118774414,1,True,0,0,1.408,True,23.3,-3.488881118774414,adsmind,derived flag columns use paper mean energies
13,13_Ag_100,OH,-2.376443862915039,1,True,0,0,0.44,True,23.7,-2.816443862915039,adsmind,derived flag columns use paper mean energies
14,14_CoPt_111,OH,-3.2450809478759766,1,True,1,0,-0.208,True,41.3,-3.0370809478759764,adsmind,derived flag columns use paper mean energies
15,15_Cu6Ga2_100,CH2CH2OH,-2.5872459411621094,1,True,1,0,-2.338,False,28.7,-0.2492459411621093,adsmind,derived flag columns use paper mean energies
16,16_Au2Hf_102,CH2CH2OH,-4.551860809326172,1,True,0,0,-2.761,False,28.0,-1.7908608093261718,adsmind,derived flag columns use paper mean energies
17,17_Rh2Ti2_111,OCHCH3,-3.0664215087890625,1,True,1,0,-4.561,False,29.0,1.4945784912109374,adsorbagent,derived flag columns use paper mean energies
18,18_Al3Zr_101,OCHCH3,-2.4179840087890625,1,True,1,0,-4.616,False,22.0,2.198015991210937,adsorbagent,derived flag columns use paper mean energies
19,19_Hf2Zn6_110,OCHCH3,-3.5939178466796875,1,True,1,0,-5.922,False,18.0,2.328082153320312,adsorbagent,derived flag columns use paper mean energies
20,20_Bi2Ti6_211,ONN(CH3)2,-10.602500915527344,1,True,1,0,-3.454,False,33.0,-7.148500915527343,adsmind,derived flag columns use paper mean energies
