case_id,surface,adsorbate,surface_family,openai_raw_status,openai_raw_energy,openai_retry_status,openai_retry_energy,openai_corrected_status,openai_corrected_energy,openai_selected_source,openai_site,openai_slip_count,openai_dissociation_count,gemini_energy,gemini_site,grok4_energy,grok4_site,abs_delta_openai_gemini,abs_delta_openai_grok4,openai_gemini_site_agreement,openai_grok4_site_agreement
01,01_Mo3Pd_111,H,intermetallic,success,-3.557255506515503,,,success,-3.557255506515503,raw,bridge,1,0,-3.5663492679595947,bridge,-3.6311686038970947,hollow (HCP/Subsurf-Atom),0.009093761444091797,0.0739130973815918,true,false
02,02_Mo3Pd_111,NNH,intermetallic,success,-4.342861175537109,,,success,-4.342861175537109,raw,hollow (FCC/No-Subsurf),1,0,-4.333539962768555,hollow (FCC/No-Subsurf),-4.150495529174805,hollow (HCP/Subsurf-Atom),0.009321212768554688,0.1923656463623047,true,false
03,03_Pd3Cu_111,H,intermetallic,success,-3.351963758468628,,,success,-3.351963758468628,raw,hollow (FCC/No-Subsurf),0,0,-3.3467447757720947,hollow (FCC/No-Subsurf),-3.3467142581939697,hollow (FCC/No-Subsurf),0.005218982696533203,0.005249500274658203,true,true
04,04_Pd3Cu_111,NNH,intermetallic,success,-2.2427330017089844,,,success,-2.2427330017089844,raw,hollow (FCC/No-Subsurf),1,0,-1.6579418182373047,hollow (FCC/No-Subsurf),-1.6579418182373047,hollow (FCC/No-Subsurf),0.5847911834716797,0.5847911834716797,true,true
05,05_Cu3Ag_111,H,intermetallic,success,-2.8426101207733154,,,success,-2.8426101207733154,raw,hollow (FCC/No-Subsurf),0,0,-2.9469187259674072,hollow (HCP/Subsurf-Atom),-2.9469187259674072,hollow (HCP/Subsurf-Atom),0.1043086051940918,0.1043086051940918,false,false
06,06_Cu3Ag_111,NNH,intermetallic,failed,,failed,,failed,,raw,,0,1,-2.0482616424560547,hollow (HCP/Subsurf-Atom),-1.7266368865966797,hollow (FCC/No-Subsurf),,,,
07,07_Ru3Mo_111,H,intermetallic,success,-6.883122205734253,,,success,-6.883122205734253,raw,ontop,1,0,-6.922611474990845,ontop,-6.922611474990845,ontop,0.0394892692565918,0.0394892692565918,true,true
08,08_Ru3Mo_111,NNH,intermetallic,failed,,success,-6.427181243896484,success,-6.427181243896484,retry,hollow (FCC/No-Subsurf),1,0,-6.396268844604492,bridge,-7.355390548706055,hollow (HCP/Subsurf-Atom),0.030912399291992188,0.9282093048095703,false,false
09,09_Pt_111,OH,monometallic,success,-1.8037338256835938,,,success,-1.8037338256835938,raw,ontop,0,0,-1.8013858795166016,ontop,-1.9739322662353516,bridge,0.0023479461669921875,0.1701984405517578,true,false
10,10_Pt_100,OH,monometallic,success,-2.7176666259765625,,,success,-2.7176666259765625,raw,bridge,0,0,-2.1220951080322266,ontop,-2.712350845336914,bridge,0.5955715179443359,0.0053157806396484375,false,true
11,11_Pd_111,OH,monometallic,success,-2.4184722900390625,,,success,-2.4184722900390625,raw,hollow (FCC/No-Subsurf),0,0,-2.3786563873291016,hollow (FCC/No-Subsurf),-2.3883914947509766,hollow (HCP/Subsurf-Atom),0.03981590270996094,0.030080795288085938,true,false
12,12_Au_111,OH,monometallic,success,-2.0813217163085938,,,success,-2.0813217163085938,raw,hollow (FCC/No-Subsurf),1,0,-1.6070194244384766,ontop,-2.080881118774414,bridge,0.4743022918701172,0.0004405975341796875,false,false
13,13_Ag_100,OH,monometallic,success,-2.8078689575195312,,,success,-2.8078689575195312,raw,hollow (HCP/Subsurf-Atom),1,0,-2.376436233520508,bridge,-2.376443862915039,bridge,0.43143272399902344,0.4314250946044922,false,false
14,14_CoPt_111,OH,intermetallic,success,-3.4303741455078125,,,success,-3.4303741455078125,raw,bridge,1,0,-3.2451114654541016,bridge,-3.2450809478759766,bridge,0.18526268005371094,0.18529319763183594,true,true
15,15_Cu6Ga2_100,CH2CH2OH,intermetallic,success,-2.9636917114257812,,,success,-2.9636917114257812,raw,ontop,0,0,-2.888652801513672,ontop,-2.5872459411621094,bridge,0.07503890991210938,0.3764457702636719,true,false
16,16_Au2Hf_102,CH2CH2OH,intermetallic,success,-4.662910461425781,,,success,-4.662910461425781,raw,ontop,0,0,-4.537578582763672,ontop,-4.551860809326172,ontop,0.12533187866210938,0.11104965209960938,true,true
17,17_Rh2Ti2_111,OCHCH3,intermetallic,success,-2.692474365234375,,,success,-2.692474365234375,raw,bridge,1,0,-2.7732162475585938,bridge,-3.0664215087890625,hollow (HCP/Subsurf-Atom),0.08074188232421875,0.3739471435546875,true,false
18,18_Al3Zr_101,OCHCH3,intermetallic,success,-2.5189666748046875,,,success,-2.5189666748046875,raw,bridge,1,0,-2.4180145263671875,bridge,-2.4179840087890625,bridge,0.1009521484375,0.100982666015625,true,true
19,19_Hf2Zn6_110,OCHCH3,intermetallic,success,-4.0125274658203125,,,success,-4.0125274658203125,raw,hollow (HCP/Subsurf-Atom),1,0,-4.029319763183594,hollow (HCP/Subsurf-Atom),-3.5939178466796875,bridge,0.01679229736328125,0.418609619140625,true,false
20,20_Bi2Ti6_211,ONN(CH3)2,intermetallic,success,-11.652278900146484,,,success,-11.652278900146484,raw,hollow (FCC/No-Subsurf),1,0,-10.604454040527344,hollow (HCP/Subsurf-Atom),-10.602500915527344,hollow (HCP/Subsurf-Atom),1.0478248596191406,1.0497779846191406,false,false
