case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,full,-3.6317179203033447,0.0,5,0,0.0,True,4,0,42814
02,full,-4.765958786010742,0.0,4,0,0.0,True,3,0,44718
09,full,-1.9739322662353516,0.0,3,0,0.0,True,1,0,29079
14,full,-3.6166324615478516,0.0,5,0,0.0,True,4,0,40619
19,full,-3.8413848876953125,0.0,5,0,0.0,True,3,2,42154
01,no_slip,-3.6317179203033447,0.0,5,0,0.0,True,4,0,39060
02,no_slip,-4.765775680541992,0.00018310546875,5,0,0.0,True,5,0,44141
09,no_slip,-1.9739322662353516,0.0,3,0,0.0,True,1,0,29281
14,no_slip,-3.6166324615478516,0.0,5,0,0.0,True,3,0,38214
19,no_slip,-3.8413848876953125,0.0,5,0,0.0,True,3,2,47560
01,no_forbid,-3.6317179203033447,0.0,5,0,0.0,True,4,0,39753
02,no_forbid,-4.765714645385742,0.000244140625,5,0,0.0,True,5,0,47968
09,no_forbid,-1.9739322662353516,0.0,3,0,0.0,True,1,0,27953
14,no_forbid,-3.6166324615478516,0.0,5,0,0.0,True,2,0,39447
19,no_forbid,-4.042137145996094,-0.20075225830078125,5,0,0.0,True,5,1,41934
01,no_termination,-3.6317179203033447,0.0,5,0,0.0,True,4,0,40549
02,no_termination,-4.765958786010742,0.0,5,0,0.0,True,4,0,45053
09,no_termination,-1.9739322662353516,0.0,4,0,0.0,True,1,0,170041
14,no_termination,-3.6166324615478516,0.0,5,0,0.0,True,3,0,39288
19,no_termination,-3.5939178466796875,0.247467041015625,5,0,0.0,True,4,1,44121
01,single_shot,-3.6311686038970947,0.00054931640625,1,0,0.0,True,0,0,7089
02,single_shot,-4.765958786010742,0.0,1,0,0.0,True,1,0,7415
09,single_shot,-1.8013858795166016,0.17254638671875,1,0,0.0,True,0,0,6021
14,single_shot,-3.6166324615478516,0.0,1,0,0.0,True,0,0,6226
19,single_shot,-3.1327438354492188,0.7086410522460938,1,0,0.0,True,0,0,7690
