case_id,surface,adsorbate,historical_status,historical_best_energy_eV,historical_best_file,historical_best_transition,historical_best_label,historical_num_best_files,historical_anomaly
01,01_Mo3Pd_111,H,success,-2.638,results/01/BEST_H_bridge_to_ontop_E-2.638.xyz,H_bridge_to_ontop,molecular,5,
02,02_Mo3Pd_111,NNH,success,-3.937,results/02/BEST_N_NH_bridge_to_hollow_E-3.937.xyz,N_NH_bridge_to_hollow,molecular,5,
03,03_Pd3Cu_111,H,success,-3.029,results/03/BEST_H_bridge_to_hollow_E-3.029.xyz,H_bridge_to_hollow,molecular,5,
04,04_Pd3Cu_111,NNH,success,-3.442,results/04/BEST_N_NH_ontop_DISS_E-3.442.xyz,N_NH_ontop_DISS,dissociated,5,
05,05_Cu3Ag_111,H,success,-2.558,results/05/BEST_H_bridge_to_hollow_E-2.558.xyz,H_bridge_to_hollow,molecular,4,
06,06_Cu3Ag_111,NNH,success,-2.498,results/06/BEST_N_NH_hollow_to_ontop_DISS_E-2.498.xyz,N_NH_hollow_to_ontop_DISS,dissociated,5,
07,07_Ru3Mo_111,H,success,-3.840,results/07/BEST_H_hollow_to_bridge_E-3.840.xyz,H_hollow_to_bridge,molecular,5,
08,08_Ru3Mo_111,NNH,success,-4.821,results/08/BEST_N_NH_bridge_to_hollow_ISO_E-4.821.xyz,N_NH_bridge_to_hollow_ISO,isolated,5,
09,09_Pt_111,OH,success,-1.932,results/09/BEST_OH_hollow_to_bridge_ISO_E-1.932.xyz,OH_hollow_to_bridge_ISO,isolated,4,
10,10_Pt_100,OH,success,-2.611,results/10/BEST_OH_hollow_to_bridge_ISO_E-2.611.xyz,OH_hollow_to_bridge_ISO,isolated,4,
11,11_Pd_111,OH,success,-2.421,results/11/BEST_OH_hollow_to_bridge_E-2.421.xyz,OH_hollow_to_bridge,molecular,3,
12,12_Au_111,OH,success,-2.059,results/12/BEST_OH_bridge_to_desorbed_E-2.059.xyz,OH_bridge_to_desorbed,desorbed,3,
13,13_Ag_100,OH,success,-2.859,results/13/BEST_OH_ontop_to_desorbed_E-2.859.xyz,OH_ontop_to_desorbed,desorbed,3,
14,14_CoPt_111,OH,success,-2.608,results/14/BEST_OH_ontop_E-2.608.xyz,OH_ontop,molecular,4,
15,15_Cu6Ga2_100,CH2CH2OH,success,-3.528,results/15/BEST_CH2CO_hollow_to_bridge_E-3.528.xyz,CH2CO_hollow_to_bridge,molecular,3,
16,16_Au2Hf_102,CH2CH2OH,success,-5.135,results/16/BEST_CH2CO_hollow_to_hollow_HCP-Subsurf-Atom_DISS_E-5.135.xyz,CH2CO_hollow_to_hollow_HCP-Subsurf-Atom_DISS,dissociated,5,
17,17_Rh2Ti2_111,OCHCH3,success,-2.913,results/17/BEST_CC_O_bridge_to_hollow_FCC-No-Subsurf_DISS_E-2.913.xyz,CC_O_bridge_to_hollow_FCC-No-Subsurf_DISS,dissociated,4,
18,18_Al3Zr_101,OCHCH3,success,-2.881,results/18/BEST_CC_O_bridge_to_hollow_HCP-Subsurf-Atom_DISS_E-2.881.xyz,CC_O_bridge_to_hollow_HCP-Subsurf-Atom_DISS,dissociated,5,
19,19_Hf2Zn6_110,OCHCH3,success,-3.977,results/19/BEST_CC_O_bridge_to_hollow_FCC-No-Subsurf_DISS_E-3.977.xyz,CC_O_bridge_to_hollow_FCC-No-Subsurf_DISS,dissociated,5,
20,20_Bi2Ti6_211,ONN(CH3)2,success,-8.992,results/BEST_CN(C)N_O_bridge_to_hollow_FCC-No-Subsurf_E-8.992.xyz,CN(C)N_O_bridge_to_hollow_FCC-No-Subsurf,molecular,1,case_20_artifacts_stored_at_results_root
