case_id,one_shot_range_3backend,full_range_3backend,full_success_backends,full_failed_backends,no_slip_range_3backend,no_slip_success_backends,no_slip_failed_backends,no_forbid_range_3backend,no_forbid_success_backends,no_forbid_failed_backends,no_termination_range_3backend,no_termination_success_backends,no_termination_failed_backends,best_closed_loop_variant_3backend,best_closed_loop_range_3backend,range_delta_vs_one_shot_3backend
003,4.674428939819336,0.01483154296875,"gemini,gpt54,claude",,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,6.103515625e-05,"gpt54,claude",gemini,no_slip,0.0,-4.674428939819336
004,1.324615478515625,0.9879150390625,"gemini,gpt54,claude",,0.0,"gpt54,claude",gemini,0.98785400390625,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,no_slip,0.0,-1.324615478515625
023,0.98114013671875,0.0,"gemini,gpt54,claude",,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,full,0.0,-0.98114013671875
024,0.33933448791503906,0.298248291015625,"gemini,gpt54,claude",,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,no_slip,0.0,-0.33933448791503906
005,0.19744873046875,0.03643798828125,"gemini,gpt54,claude",,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,no_slip,0.0,-0.19744873046875
019,0.247467041015625,0.16607666015625,"gemini,gpt54,claude",,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,no_slip,0.0,-0.247467041015625
015,0.2189502716064453,0.2189502716064453,"gemini,gpt54,claude",,0.03237342834472656,"gpt54,claude",gemini,0.00399017333984375,"gpt54,claude",gemini,0.005767822265625,"gpt54,claude",gemini,no_forbid,0.00399017333984375,-0.21496009826660156
013,0.08929443359375,1.28375244140625,"gemini,gpt54,claude",,0.58843994140625,"gpt54,claude",gemini,1.2840576171875,"gpt54,claude",gemini,0.6887969970703125,"gpt54,claude",gemini,no_slip,0.58843994140625,0.4991455078125
012,0.0,0.022613525390625,"gpt54,claude",gemini,0.000152587890625,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,0.05250358581542969,"gpt54,claude",gemini,no_forbid,0.0,0.0
016,0.007171630859375,3.0517578125e-05,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,0.0,"gpt54,claude",gemini,no_slip,0.0,-0.007171630859375
