case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
001,research/agent_eval/generated_slabs/ocd_gmae_rep50/001_ocd_596_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-4.743199110031128,1,1,1,0,0,0,1,bridge,False,55.422717072069645,3688,3162,research/results/ocd_gmae_rep50_v1_gemini_one_shot/001/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/001/artifacts/relaxation.traj
002,research/agent_eval/generated_slabs/ocd_gmae_rep50/002_ocd_768_Ga24Y24_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.5041396617889404,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,65.41308067366481,3856,3157,research/results/ocd_gmae_rep50_v1_gemini_one_shot/002/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.504.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/002/artifacts/relaxation.traj
003,research/agent_eval/generated_slabs/ocd_gmae_rep50/003_ocd_775_Na12Pb36_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.134526014328003,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,162.70671663060784,3986,3187,research/results/ocd_gmae_rep50_v1_gemini_one_shot/003/artifacts/BEST_H_hollow_to_hollow_HCP-Subsurf-Atom_E-3.135.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/003/artifacts/relaxation.traj
004,research/agent_eval/generated_slabs/ocd_gmae_rep50/004_ocd_479_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,failed,,1,1,0,1,0,0,1,,False,433.1483985930681,4006,3011,research/results/ocd_gmae_rep50_v1_gemini_one_shot/004/artifacts/BEST_OH_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-9.476.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/004/artifacts/relaxation.traj
005,research/agent_eval/generated_slabs/ocd_gmae_rep50/005_ocd_513_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.2310638427734375,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,91.82307287305593,4110,4208,research/results/ocd_gmae_rep50_v1_gemini_one_shot/005/artifacts/BEST_OH_hollow_to_hollow_HCP-Subsurf-Atom_E-6.231.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/005/artifacts/relaxation.traj
006,research/agent_eval/generated_slabs/ocd_gmae_rep50/006_ocd_439_Ca16Pb16Pd16_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-3.9895553588867188,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,228.8279228247702,3874,3342,research/results/ocd_gmae_rep50_v1_gemini_one_shot/006/artifacts/BEST_OH_ontop_to_hollow_FCC-No-Subsurf_E-3.990.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/006/artifacts/relaxation.traj
007,research/agent_eval/generated_slabs/ocd_gmae_rep50/007_ocd_735_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-6.983524322509766,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,76.9184655584395,4273,3727,research/results/ocd_gmae_rep50_v1_gemini_one_shot/007/artifacts/BEST_NH2_hollow_to_hollow_HCP-Subsurf-Atom_E-6.984.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/007/artifacts/relaxation.traj
008,research/agent_eval/generated_slabs/ocd_gmae_rep50/008_ocd_491_Ca24Zn48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,394.42924777790904,4006,3554,research/results/ocd_gmae_rep50_v1_gemini_one_shot/008/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_DISS_E-5.047.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/008/artifacts/relaxation.traj
009,research/agent_eval/generated_slabs/ocd_gmae_rep50/009_ocd_208_Al20Au20Y20_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-3.9963321685791016,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,377.7875558324158,3999,2930,research/results/ocd_gmae_rep50_v1_gemini_one_shot/009/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_E-3.996.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/009/artifacts/relaxation.traj
010,research/agent_eval/generated_slabs/ocd_gmae_rep50/010_ocd_70_As48Hf48Ni48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-9.262384414672852,1,1,1,0,0,0,0,ontop,False,726.4501070864499,3927,3265,research/results/ocd_gmae_rep50_v1_gemini_one_shot/010/artifacts/BEST_NH2_ontop_E-9.262.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/010/artifacts/relaxation.traj
011,research/agent_eval/generated_slabs/ocd_gmae_rep50/011_ocd_614_Na8Pb24_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-3.282930374145508,1,1,1,0,0,0,1,bridge,False,200.83642277121544,3715,2713,research/results/ocd_gmae_rep50_v1_gemini_one_shot/011/artifacts/BEST_NH2_ontop_to_bridge_E-3.283.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/011/artifacts/relaxation.traj
012,research/agent_eval/generated_slabs/ocd_gmae_rep50/012_ocd_591_Sb20Ta60_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,success,-9.34560775756836,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,588.2774583995342,4018,3179,research/results/ocd_gmae_rep50_v1_gemini_one_shot/012/artifacts/BEST_N_N_ontop_to_hollow_FCC-No-Subsurf_E-9.346.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/012/artifacts/relaxation.traj
013,research/agent_eval/generated_slabs/ocd_gmae_rep50/013_ocd_94_Ag18Sr27_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,success,-2.735858917236328,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,93.68013216555119,3903,3603,research/results/ocd_gmae_rep50_v1_gemini_one_shot/013/artifacts/BEST_N_N_ontop_to_hollow_FCC-No-Subsurf_E-2.736.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/013/artifacts/relaxation.traj
014,research/agent_eval/generated_slabs/ocd_gmae_rep50/014_ocd_192_Si8Ta16V24_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,success,-6.870906829833984,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,307.908565107733,4922,4379,research/results/ocd_gmae_rep50_v1_gemini_one_shot/014/artifacts/BEST_N_N_bridge_to_hollow_FCC-No-Subsurf_E-6.871.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/014/artifacts/relaxation.traj
015,research/agent_eval/generated_slabs/ocd_gmae_rep50/015_ocd_530_Co32Y48_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-9.957316398620605,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,195.88335328549147,3985,3023,research/results/ocd_gmae_rep50_v1_gemini_one_shot/015/artifacts/BEST_NH_bridge_to_hollow_FCC-No-Subsurf_E-9.957.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/015/artifacts/relaxation.traj
016,research/agent_eval/generated_slabs/ocd_gmae_rep50/016_ocd_108_Ru60Ta20_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-14.256022453308105,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,57.44263757765293,3997,3158,research/results/ocd_gmae_rep50_v1_gemini_one_shot/016/artifacts/BEST_NH_hollow_to_hollow_FCC-No-Subsurf_E-14.256.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/016/artifacts/relaxation.traj
017,research/agent_eval/generated_slabs/ocd_gmae_rep50/017_ocd_87_Ga12Pd36_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-7.173670768737793,1,1,1,0,0,0,0,hollow (HCP/Subsurf-Atom),False,146.10077695548534,3942,3089,research/results/ocd_gmae_rep50_v1_gemini_one_shot/017/artifacts/BEST_NH_hollow_to_hollow_HCP-Subsurf-Atom_E-7.174.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/017/artifacts/relaxation.traj
018,research/agent_eval/generated_slabs/ocd_gmae_rep50/018_ocd_716_Au24Si24Sr12_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,intermetallic,N,,GENERALIZATION,success,-2.125509262084961,1,1,1,0,0,0,1,ontop,False,328.3072861097753,4168,3537,research/results/ocd_gmae_rep50_v1_gemini_one_shot/018/artifacts/BEST_N_hollow_to_ontop_E-2.126.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/018/artifacts/relaxation.traj
019,research/agent_eval/generated_slabs/ocd_gmae_rep50/019_ocd_294_Ga36Mn36_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,intermetallic,N,,GENERALIZATION,success,-3.479421615600586,1,1,1,0,0,0,1,ontop,False,294.55800764262676,3844,3565,research/results/ocd_gmae_rep50_v1_gemini_one_shot/019/artifacts/BEST_N_hollow_to_ontop_E-3.479.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/019/artifacts/relaxation.traj
020,research/agent_eval/generated_slabs/ocd_gmae_rep50/020_ocd_183_Pb24Y8_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,intermetallic,[N]=O,,GENERALIZATION,success,-2.7164840698242188,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,89.31668215245008,4164,3356,research/results/ocd_gmae_rep50_v1_gemini_one_shot/020/artifacts/BEST_N_O_ontop_to_hollow_FCC-No-Subsurf_E-2.716.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/020/artifacts/relaxation.traj
021,research/agent_eval/generated_slabs/ocd_gmae_rep50/021_ocd_677_Au36Ga36_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,intermetallic,[N]=O,,GENERALIZATION,success,-3.8590927124023438,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,160.9118891991675,4194,3796,research/results/ocd_gmae_rep50_v1_gemini_one_shot/021/artifacts/BEST_N_O_ontop_to_hollow_HCP-Subsurf-Atom_E-3.859.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/021/artifacts/relaxation.traj
022,research/agent_eval/generated_slabs/ocd_gmae_rep50/022_ocd_46_Pt16V48_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,intermetallic,[N]=O,,GENERALIZATION,success,-6.136024475097656,1,1,1,0,0,0,1,ontop,False,286.14012273028493,3778,3155,research/results/ocd_gmae_rep50_v1_gemini_one_shot/022/artifacts/BEST_N_O_ontop_E-6.136.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/022/artifacts/relaxation.traj
023,research/agent_eval/generated_slabs/ocd_gmae_rep50/023_ocd_16_Hf18Sc18Si36_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,success,-4.346961975097656,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,149.54063515737653,4095,2920,research/results/ocd_gmae_rep50_v1_gemini_one_shot/023/artifacts/BEST_NO_ontop_to_hollow_HCP-Subsurf-Atom_E-4.347.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/023/artifacts/relaxation.traj
024,research/agent_eval/generated_slabs/ocd_gmae_rep50/024_ocd_31_Cd24Pd24_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,success,-3.1459884643554688,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,590.5605914853513,4213,3778,research/results/ocd_gmae_rep50_v1_gemini_one_shot/024/artifacts/BEST_NO_ontop_to_hollow_HCP-Subsurf-Atom_E-3.146.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/024/artifacts/relaxation.traj
025,research/agent_eval/generated_slabs/ocd_gmae_rep50/025_ocd_362_In18N18Ti36_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,440.94568617269397,4064,3331,research/results/ocd_gmae_rep50_v1_gemini_one_shot/025/artifacts/BEST_O_N_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-11.352.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/025/artifacts/relaxation.traj
026,research/agent_eval/generated_slabs/ocd_gmae_rep50/026_ocd_84_Mo18S72W18_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,success,-19.717330932617188,1,1,1,0,0,0,0,ontop,False,381.9390916749835,4289,3941,research/results/ocd_gmae_rep50_v1_gemini_one_shot/026/artifacts/BEST_O_N_ontop_E-19.717.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/026/artifacts/relaxation.traj
027,research/agent_eval/generated_slabs/ocd_gmae_rep50/027_ocd_201_Cr36N48_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,compound,[CH]=O,,GENERALIZATION,success,-7.707094192504883,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,474.1797124296427,4052,4158,research/results/ocd_gmae_rep50_v1_gemini_one_shot/027/artifacts/BEST_CH_O_ontop_to_hollow_HCP-Subsurf-Atom_E-7.707.xyz,,research/results/ocd_gmae_rep50_v1_gemini_one_shot/027/artifacts/relaxation.traj
