case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
001,research/agent_eval/generated_slabs/ocd_gmae_rep50/001_ocd_596_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-4.743199110031128,1,1,1,0,0,0,1,bridge,False,40.17902436107397,3594,1087,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/001/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/001/artifacts/relaxation.traj
002,research/agent_eval/generated_slabs/ocd_gmae_rep50/002_ocd_768_Ga24Y24_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.5041396617889404,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,29.498430982232094,3698,1292,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/002/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.504.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/002/artifacts/relaxation.traj
003,research/agent_eval/generated_slabs/ocd_gmae_rep50/003_ocd_775_Na12Pb36_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.134526014328003,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,51.62535756826401,3577,1036,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/003/artifacts/BEST_H_hollow_to_hollow_HCP-Subsurf-Atom_E-3.135.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/003/artifacts/relaxation.traj
004,research/agent_eval/generated_slabs/ocd_gmae_rep50/004_ocd_479_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,failed,,1,1,0,1,0,0,1,,False,561.8536675460637,3767,1129,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/004/artifacts/BEST_OH_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-9.476.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/004/artifacts/relaxation.traj
005,research/agent_eval/generated_slabs/ocd_gmae_rep50/005_ocd_513_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.176261901855469,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,63.30055371299386,3686,1289,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/005/artifacts/BEST_OH_ontop_to_hollow_HCP-Subsurf-Atom_E-6.176.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/005/artifacts/relaxation.traj
006,research/agent_eval/generated_slabs/ocd_gmae_rep50/006_ocd_439_Ca16Pb16Pd16_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-3.94049072265625,1,1,1,0,0,0,0,hollow (FCC/No-Subsurf),False,82.06914274767041,3731,1204,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/006/artifacts/BEST_OH_hollow_to_hollow_FCC-No-Subsurf_E-3.940.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/006/artifacts/relaxation.traj
007,research/agent_eval/generated_slabs/ocd_gmae_rep50/007_ocd_735_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-11.659784317016602,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,270.5965937189758,3701,1257,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/007/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_E-11.660.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/007/artifacts/relaxation.traj
008,research/agent_eval/generated_slabs/ocd_gmae_rep50/008_ocd_491_Ca24Zn48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-4.444726943969727,1,1,1,0,0,0,1,bridge,False,396.8149298429489,3576,858,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/008/artifacts/BEST_NH2_ontop_to_bridge_E-4.445.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/008/artifacts/relaxation.traj
009,research/agent_eval/generated_slabs/ocd_gmae_rep50/009_ocd_208_Al20Au20Y20_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-3.9963321685791016,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,355.3859157040715,3710,995,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/009/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_E-3.996.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/009/artifacts/relaxation.traj
010,research/agent_eval/generated_slabs/ocd_gmae_rep50/010_ocd_70_As48Hf48Ni48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-9.262384414672852,1,1,1,0,0,0,0,ontop,False,598.5775152668357,3735,926,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/010/artifacts/BEST_NH2_ontop_E-9.262.xyz,,research/results/ocd_gmae_rep50_v1_openai_gpt54_one_shot/010/artifacts/relaxation.traj
