case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
003,full,-11.659296035766602,0.0,4,0,0.0,True,4,0,37628
004,full,-10.13772201538086,0.0,3,0,0.0,True,3,1,21986
023,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,39920
024,full,-3.715871810913086,0.0,5,0,0.0,True,3,1,36315
005,full,-10.118144035339355,0.0,4,0,0.0,True,4,0,40392
019,full,-3.3380630016326904,0.0,3,0,0.0,True,3,0,28685
015,full,-1.351470947265625,0.0,5,1,0.2,True,4,3,39030
013,full,-10.361473083496094,0.0,5,0,0.0,True,2,1,34887
012,full,-2.772481918334961,0.0,5,0,0.0,True,4,1,36191
016,full,-12.998695373535156,0.0,5,0,0.0,True,3,0,36656
003,no_slip,-11.654779434204102,0.0045166015625,4,0,0.0,True,4,0,33083
004,no_slip,-10.13772201538086,0.0,5,0,0.0,True,5,2,37490
023,no_slip,-14.505778312683105,0.04376220703125,5,0,0.0,True,5,0,36757
024,no_slip,-3.421102523803711,0.294769287109375,5,0,0.0,True,3,0,32562
005,no_slip,-10.643351554870605,-0.52520751953125,5,0,0.0,True,5,0,35683
019,no_slip,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,4,0,33747
015,no_slip,-1.5704517364501953,-0.2189807891845703,5,1,0.2,True,3,2,36576
013,no_slip,-10.361473083496094,0.0,5,0,0.0,True,1,1,33310
012,no_slip,-2.7007198333740234,0.0717620849609375,4,0,0.0,True,3,0,33644
016,no_slip,-12.998695373535156,0.0,5,0,0.0,True,3,0,33463
003,no_forbid,-11.654779434204102,0.0045166015625,5,1,0.2,True,4,0,38234
004,no_forbid,-10.13772201538086,0.0,5,0,0.0,True,5,1,40533
023,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,37531
024,no_forbid,-3.715871810913086,0.0,5,0,0.0,True,3,1,34583
005,no_forbid,-10.643351554870605,-0.52520751953125,5,0,0.0,True,5,0,36653
019,no_forbid,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,4,0,36328
015,no_forbid,-1.351470947265625,0.0,5,1,0.2,True,4,3,38648
013,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,1,0,35016
012,no_forbid,-2.746053695678711,0.02642822265625,5,0,0.0,True,4,0,35124
016,no_forbid,-12.998695373535156,0.0,5,0,0.0,True,3,0,35591
003,no_termination,-11.654779434204102,0.0045166015625,5,1,0.2,True,4,0,37108
004,no_termination,-11.384395599365234,-1.246673583984375,5,0,0.0,True,5,1,38338
023,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,38575
024,no_termination,-3.715871810913086,0.0,5,0,0.0,True,3,1,36402
005,no_termination,-10.606913566589355,-0.48876953125,5,0,0.0,True,4,0,37821
019,no_termination,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,5,0,35952
015,no_termination,-1.351470947265625,0.0,5,1,0.2,True,4,3,38862
013,no_termination,-10.361473083496094,0.0,5,0,0.0,True,1,1,34803
012,no_termination,-2.746053695678711,0.02642822265625,5,0,0.0,True,3,1,36165
016,no_termination,-12.998695373535156,0.0,5,0,0.0,True,3,0,34402
003,single_shot,-10.633243560791016,1.026052474975586,1,0,0.0,True,1,0,6683
004,single_shot,-10.13772201538086,0.0,1,0,0.0,True,1,0,6703
023,single_shot,-14.256022453308105,0.29351806640625,1,0,0.0,True,1,0,6342
024,single_shot,-3.376506805419922,0.33936500549316406,1,0,0.0,True,0,0,6536
005,single_shot,-9.957316398620605,0.16082763671875,1,0,0.0,True,1,0,6641
019,single_shot,-3.3380630016326904,0.0,1,0,0.0,True,1,0,6457
015,single_shot,-1.351470947265625,0.0,1,0,0.0,True,1,0,7181
013,single_shot,-9.077659606933594,1.2838134765625,1,0,0.0,True,0,0,6110
012,single_shot,-2.359823226928711,0.41265869140625,1,0,0.0,True,1,0,6506
016,single_shot,-12.998695373535156,0.0,1,0,0.0,True,1,0,5767
