case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,full,-3.627323865890503,0.0,4,0,0.0,True,3,0,28857
02,full,-4.769039154052734,0.0,5,0,0.0,True,4,0,28966
09,full,-1.9912567138671875,0.0,3,0,0.0,True,0,0,20047
14,full,-3.5911407470703125,0.0,5,0,0.0,True,3,0,27934
19,full,-4.0125274658203125,0.0,5,0,0.0,True,4,0,29540
01,no_slip,-3.627323865890503,0.0,4,0,0.0,True,3,0,26372
02,no_slip,-4.764400482177734,0.004638671875,5,0,0.0,True,4,0,27222
09,no_slip,-1.9912567138671875,0.0,3,0,0.0,True,0,0,19542
14,no_slip,-3.4312286376953125,0.159912109375,3,0,0.0,True,2,0,19575
19,no_slip,-4.099582672119141,-0.08705520629882812,5,0,0.0,True,5,0,27948
01,no_forbid,-3.627323865890503,0.0,4,0,0.0,True,3,0,29003
02,no_forbid,-4.769039154052734,0.0,5,0,0.0,True,4,0,29099
09,no_forbid,-1.9912567138671875,0.0,3,0,0.0,True,0,0,19956
14,no_forbid,-3.5911407470703125,0.0,5,0,0.0,True,3,0,26545
19,no_forbid,-4.148807525634766,-0.13628005981445312,5,0,0.0,True,4,0,29475
01,no_termination,-3.630131483078003,-0.0028076171875,5,0,0.0,True,4,0,27843
02,no_termination,-4.769039154052734,0.0,5,0,0.0,True,4,0,28286
09,no_termination,-1.9912567138671875,0.0,3,0,0.0,True,0,0,32056
14,no_termination,-3.5911407470703125,0.0,5,0,0.0,True,3,0,25347
19,no_termination,-4.0125274658203125,0.0,5,0,0.0,True,4,0,29145
01,single_shot,-3.557255506515503,0.070068359375,1,0,0.0,True,1,0,4278
02,single_shot,-4.342861175537109,0.426177978515625,1,0,0.0,True,1,0,4565
09,single_shot,-1.9912567138671875,0.0,1,0,0.0,True,0,0,4559
14,single_shot,-3.4312286376953125,0.159912109375,1,0,0.0,True,0,0,4205
19,single_shot,-4.0125274658203125,0.0,1,0,0.0,True,1,0,4601
