benchmark_id,case_id,surface,adsorbate,adsmind_1shot_energy,adsmind_1shot_energy_best4,adsmind_1shot_energy_mean4,adsmind_1shot_best4,adsmind_1shot_mean4,adsmind_1shot_relax,adsmind_1shot_success,adsmind_full_energy,adsmind_full_energy_best4,adsmind_full_energy_mean4,adsmind_full_best4,adsmind_full_mean4,adsmind_full_relax,adsmind_full_success,random_n20_energy,random_n20_relax,random_n20_success,heuristic_energy,heuristic_relax,heuristic_success,adsorbagent_energy,adsorbagent_relax,adsorbagent_success,adsmind_1shot_gpt54_mace_mp0_small_energy,adsmind_1shot_gpt54_mace_mp0_small_relax,adsmind_1shot_gpt54_mace_mp0_small_success,adsmind_1shot_claude_sonnet46_mace_mp0_small_energy,adsmind_1shot_claude_sonnet46_mace_mp0_small_relax,adsmind_1shot_claude_sonnet46_mace_mp0_small_success,adsmind_1shot_gemini25pro_mace_mp0_small_energy,adsmind_1shot_gemini25pro_mace_mp0_small_relax,adsmind_1shot_gemini25pro_mace_mp0_small_success,adsmind_1shot_grok4_mace_mp0_small_energy,adsmind_1shot_grok4_mace_mp0_small_relax,adsmind_1shot_grok4_mace_mp0_small_success,adsmind_1shot_success_any4,adsmind_1shot_success_all4,adsmind_full_gpt54_mace_mp0_small_energy,adsmind_full_gpt54_mace_mp0_small_relax,adsmind_full_gpt54_mace_mp0_small_success,adsmind_full_claude_sonnet46_mace_mp0_small_energy,adsmind_full_claude_sonnet46_mace_mp0_small_relax,adsmind_full_claude_sonnet46_mace_mp0_small_success,adsmind_full_gemini25pro_mace_mp0_small_energy,adsmind_full_gemini25pro_mace_mp0_small_relax,adsmind_full_gemini25pro_mace_mp0_small_success,adsmind_full_grok4_mace_mp0_small_energy,adsmind_full_grok4_mace_mp0_small_relax,adsmind_full_grok4_mace_mp0_small_success,adsmind_full_success_any4,adsmind_full_success_all4
01,01,Mo3Pd,H,-3.575123429298401,-3.619694471359253,-3.575123429298401,-3.619694471359253,-3.575123429298401,1.0,1.0,-3.6277968883514404,-3.630192518234253,-3.6277968883514404,-3.630192518234253,-3.6277968883514404,4.25,1.0,-3.631718397140503,20.0,1.0,-3.637272596359253,69,1.0,-3.6234781742095943,1,1.0,-3.557255506515503,1,True,-3.557255506515503,1,True,-3.5662882328033447,1,True,-3.619694471359253,1,True,True,True,-3.627323865890503,4,True,-3.630131483078003,4,True,-3.630192518234253,5,True,-3.623539686203003,4,True,True,True
02,02,Mo3Pd,NNH,-4.342861175537109,-4.342861175537109,-4.342861175537109,-4.342861175537109,-4.342861175537109,1.0,1.0,-4.609951496124268,-4.769039154052734,-4.609951496124268,-4.769039154052734,-4.609951496124268,4.0,1.0,-4.761686325073242,20.0,1.0,-4.776639938354492,69,1.0,-4.764554977416992,2,1.0,-4.342861175537109,1,True,-4.342861175537109,1,True,-4.342861175537109,1,True,-4.342861175537109,1,True,True,True,-4.769039154052734,5,True,-4.769039154052734,5,True,-4.766019821166992,5,True,-4.135707855224609,1,True,True,True
03,03,Pd3Cu,H,-3.344036817550659,-3.351963758468628,-3.344036817550659,-3.351963758468628,-3.344036817550659,1.0,1.0,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,3.5,1.0,-3.323246717453003,20.0,1.0,-3.349552869796753,56,1.0,-3.1168863773345947,1,1.0,-3.351963758468628,1,True,-3.351963758468628,1,True,-3.351963758468628,1,True,-3.320255994796753,1,True,True,True,-3.351963758468628,2,True,-3.351963758468628,2,True,-3.351963758468628,5,True,-3.351963758468628,5,True,True,True
04,04,Pd3Cu,NNH,-2.0545921325683594,-2.2852134704589844,-2.0545921325683594,-2.2852134704589844,-2.0545921325683594,1.0,1.0,-2.2137489318847656,-2.2848472595214844,-2.2137489318847656,-2.2848472595214844,-2.2137489318847656,4.75,1.0,-3.293546676635742,20.0,1.0,-3.470273971557617,56,1.0,-1.5525188446044922,3,1.0,-2.2427330017089844,1,True,-1.8452110290527344,1,True,-2.2852134704589844,1,True,-1.8452110290527344,1,True,True,True,-2.2549095153808594,4,True,-2.2848472595214844,5,True,-2.0603294372558594,5,True,-2.2549095153808594,5,True,True,True
05,05,Cu3Ag,H,-2.9318816661834717,-2.961643934249878,-2.9318816661834717,-2.961643934249878,-2.9318816661834717,1.0,1.0,-2.9616401195526123,-2.961643934249878,-2.9616401195526123,-2.961643934249878,-2.9616401195526123,4.25,1.0,-2.965336561203003,20.0,1.0,-2.966923475265503,59,1.0,-2.8518259525299072,2,1.0,-2.842610120773315,1,True,-2.961643934249878,1,True,-2.961628675460815,1,True,-2.961643934249878,1,True,True,True,-2.961643934249878,4,True,-2.961643934249878,3,True,-2.961643934249878,5,True,-2.961628675460815,5,True,True,True
06,06,Cu3Ag,NNH,,,,,,1.0,0.0,-2.0196075439453125,-2.16463851928711,-2.0196075439453125,-2.16463851928711,-2.0196075439453125,5.0,1.0,-2.678739547729492,20.0,1.0,-2.167753219604492,59,1.0,-1.5293254852294922,2,1.0,,1,False,,1,False,,1,False,,1,False,False,False,-2.164623260498047,5,True,-1.8745841979980469,5,True,-2.16463851928711,5,True,-1.8745841979980469,5,True,True,True
07,07,Ru3Mo,H,-6.790135145187378,-6.883122205734253,-6.790135145187378,-6.883122205734253,-6.790135145187378,1.0,1.0,-7.045994520187378,-7.051090955734253,-7.045994520187378,-7.051090955734253,-7.045994520187378,4.75,1.0,-7.041508436203003,20.0,1.0,-7.051396131515503,84,1.0,-6.671879053115845,1,1.0,-6.511173963546753,1,True,-6.883122205734253,1,True,-6.883122205734253,1,True,-6.883122205734253,1,True,True,True,-7.030705213546753,5,True,-7.051090955734253,4,True,-7.051090955734253,5,True,-7.051090955734253,5,True,True,True
08,08,Ru3Mo,NNH,-6.414363861083984,-6.414363861083984,-6.414363861083984,-6.414363861083984,-6.414363861083984,1.0,0.25,-6.722194671630859,-7.190608978271484,-6.722194671630859,-7.190608978271484,-6.722194671630859,4.75,1.0,-7.188383102416992,20.0,1.0,-9.209440231323242,84,1.0,-5.292572021484375,1,1.0,,1,False,,1,False,-6.414363861083984,1,True,,1,False,True,False,-7.190608978271484,5,True,-6.869441986083984,5,True,-6.414363861083984,5,True,-6.414363861083984,4,True,True,True
09,09,Pt,OH,-1.8925771713256836,-1.9912567138671875,-1.8925771713256836,-1.9912567138671875,-1.8925771713256836,1.0,1.0,-1.9869256019592285,-1.9912567138671875,-1.9869256019592285,-1.9912567138671875,-1.9869256019592285,3.0,1.0,-1.9895267486572263,20.0,1.0,-1.9934635162353516,46,1.0,-1.9891910552978516,2,1.0,-1.9912567138671875,1,True,-1.8037338256835935,1,True,-1.8013858795166016,1,True,-1.9739322662353516,1,True,True,True,-1.9912567138671875,3,True,-1.9912567138671875,3,True,-1.9739322662353516,3,True,-1.9912567138671875,3,True,True,True
10,10,Pt,OH,-2.7135963439941406,-2.7176666259765625,-2.7135963439941406,-2.7176666259765625,-2.7135963439941406,1.0,1.0,-2.7156314849853516,-2.7176666259765625,-2.7156314849853516,-2.7176666259765625,-2.7156314849853516,3.5,1.0,-2.7149600982666016,20.0,1.0,-2.7206058502197266,25,1.0,-2.708230972290039,2,1.0,-2.7176666259765625,1,True,-2.7095260620117188,1,True,-2.7095260620117188,1,True,-2.7176666259765625,1,True,True,True,-2.7095260620117188,2,True,-2.7176666259765625,4,True,-2.7176666259765625,4,True,-2.7176666259765625,4,True,True,True
