case_id,best_energy,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,-3.631718397140503,4,0,0.0,True,2,0,27107
02,-4.775278091430664,2,0,0.0,True,2,0,15892
03,-3.338566541671753,3,0,0.0,True,2,0,21887
04,-2.270109176635742,4,0,0.0,True,3,2,31813
05,-2.960362195968628,4,0,0.0,True,2,0,27734
06,-1.880289077758789,5,0,0.0,True,4,0,31124
07,-7.028996229171753,5,0,0.0,True,3,0,28147
08,-7.368223190307617,5,0,0.0,True,3,1,32221
09,-1.9918594360351562,3,0,0.0,True,1,0,19664
10,-2.7121047973632812,3,0,0.0,True,2,0,22116
11,-2.3692216873168945,1,0,0.0,True,1,0,10126
12,-2.3609619140625,3,0,0.0,True,3,0,21828
13,-2.825592041015625,3,0,0.0,True,2,0,21840
14,-3.6042251586914062,5,0,0.0,True,4,0,27303
15,-2.9270095825195312,3,0,0.0,True,3,0,22345
16,-4.676399230957031,5,0,0.0,True,3,0,31606
17,-3.268444061279297,5,0,0.0,True,4,0,29757
18,-2.889392852783203,3,0,0.0,True,2,0,23159
19,-4.024250030517578,4,0,0.0,True,3,0,29485
20,-10.886920928955078,5,0,0.0,True,5,2,32473
