baseline,backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,max_config_budget,random_ratio,case_id,config_name,ads_smiles,bulk_symbol,bulk_id,miller,shift,top,status,skip_reason,traj_count,valid_traj_count,best_total_energy,best_adsorption_energy_eV,best_config,adsorbagent_configs_tested,critic_loop_count,llm_token_count,llm_prompt_tokens,llm_completion_tokens,llm_successful_requests,llm_total_cost_usd,site_type,site_atoms,ads_bind_atoms,orient,cutoff_multiplier
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,01,01_Mo3Pd_H,[H],Mo3Pd,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-870.856201171875,-3.6234781742095947,config_0,1,1,4222,3012,1210,5,0.0,hollow,Mo;Mo;Pd,H,centered in 3-fold hollow (orientation largely irrelevant for atomic H),1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,02,02_Mo3Pd_NNH,[N]=[NH],Mo3Pd,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-889.1253662109375,-4.764554977416992,config_0,2,1,4971,3371,1600,5,0.0,ontop,Mo,terminal N,tilted end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,03,03_Pd3Cu_H,[H],Pd3Cu,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-303.8610534667969,-3.1168863773345947,config_0,1,1,4270,3043,1227,5,0.0,hollow,Pd;Pd;Cu,H,centered upright over the hollow site,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,04,04_Pd3Cu_NNH,[N]=[NH],Pd3Cu,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",3,3,-319.4247741699219,-1.5525188446044922,config_1,3,1,4396,3115,1281,5,0.0,ontop,Pd,terminal N,tilted end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,05,05_Cu3Ag_H,[H],Cu3Ag,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-225.58871459960938,-2.8518259525299072,config_1,2,1,4208,2954,1254,5,0.0,hollow,Cu;Cu;Cu,H,upright atomic adsorption in a threefold coordination geometry,1.2500000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,06,06_Cu3Ag_NNH,[N]=[NH],Cu3Ag,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-241.39430236816406,-1.5293254852294922,config_0,2,1,4282,3077,1205,5,0.0,ontop,Cu,terminal N,"end-on, slightly tilted",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,07,07_Ru3Mo_H,[H],Ru3Mo,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-904.748291015625,-6.671879053115845,config_0,1,1,4246,3033,1213,5,0.0,hollow,Ru;Ru;Mo,H,centered in hollow,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,08,08_Ru3Mo_NNH,[N]=[NH],Ru3Mo,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-920.4970703125,-5.292572021484375,config_0,1,1,4575,3131,1444,5,0.0,bridge,Ru;Mo,terminal N;NH-bound N,tilted side-on/bridging,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,09,09_Pt_OH,[OH],Pt,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-324.18499755859375,-1.9891910552978516,config_0,2,1,4303,3062,1241,5,0.0,ontop,Pt,O,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,10,10_Pt_OH,[OH],Pt,,(100),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-210.4539794921875,-2.708230972290039,config_0,2,1,4401,3028,1373,5,0.0,ontop,Pt,O,"end-on, O-down, slightly tilted",1.1500000000000001
