case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,no_forbid,-3.623600721359253,0.00653076171875,3,0,0.0,True,2,0,29249
02,no_forbid,-4.769039154052734,0.0,5,0,0.0,True,5,0,38489
03,no_forbid,-3.351963758468628,0.0,4,0,0.0,True,1,0,37362
04,no_forbid,-2.2851524353027344,-0.00030517578125,5,0,0.0,True,4,0,39326
05,no_forbid,-2.961643934249878,0.0,5,0,0.0,True,2,0,35186
06,no_forbid,-1.8745841979980469,0.0,5,0,0.0,True,1,2,33721
07,no_forbid,-7.051090955734253,0.0,3,0,0.0,True,3,0,29087
08,no_forbid,-6.856868743896484,0.0125732421875,5,0,0.0,True,3,2,37789
09,no_forbid,-1.9912567138671875,0.0,3,0,0.0,True,0,0,26008
10,no_forbid,-2.7176666259765625,0.0,4,0,0.0,True,3,0,36268
11,no_forbid,-2.4184722900390625,0.0,3,0,0.0,True,2,0,27556
12,no_forbid,-2.3513641357421875,0.0,3,0,0.0,True,2,0,28433
13,no_forbid,-2.8251419067382812,0.0,4,0,0.0,True,3,0,37220
14,no_forbid,-3.5911407470703125,-0.0114974975585937,5,0,0.0,True,3,0,35868
15,no_forbid,-3.257678985595703,0.0,3,0,0.0,True,2,0,29076
16,no_forbid,-4.662910461425781,0.0,5,0,0.0,True,2,0,34537
17,no_forbid,-3.240985870361328,0.0,5,0,0.0,True,4,0,38714
18,no_forbid,-2.8375282287597656,-0.1135139465332031,4,0,0.0,True,2,0,37160
19,no_forbid,-4.148807525634766,-0.1362800598144531,5,0,0.0,True,5,0,42052
20,no_forbid,-11.652278900146484,0.00042724609375,5,0,0.0,True,5,0,41268
