case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,no_termination,-3.630131483078003,0.0,5,0,0.0,True,4,0,35690
02,no_termination,-4.769039154052734,0.0,5,0,0.0,True,4,0,36787
03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,2,0,35510
04,no_termination,-2.2427330017089844,0.0421142578125,5,0,0.0,True,4,1,38572
05,no_termination,-2.961643934249878,0.0,4,0,0.0,True,2,0,30971
06,no_termination,-2.1646080017089844,-0.2900238037109375,5,0,0.0,True,3,2,37267
07,no_termination,-7.051090955734253,0.0,5,0,0.0,True,5,0,38334
08,no_termination,-7.190670013427734,-0.32122802734375,5,0,0.0,True,4,2,38841
09,no_termination,-1.9912567138671875,0.0,3,0,0.0,True,0,0,42723
10,no_termination,-2.7176666259765625,0.0,4,0,0.0,True,3,0,58119
11,no_termination,-2.4184722900390625,0.0,3,0,0.0,True,2,0,47661
12,no_termination,-2.3513641357421875,0.0,3,0,0.0,True,2,0,47587
13,no_termination,-2.8301544189453125,-0.0050125122070312,5,0,0.0,True,3,0,49849
14,no_termination,-3.5911407470703125,-0.0114974975585937,5,0,0.0,True,3,0,33339
15,no_termination,-3.257709503173828,-3.0517578125e-05,5,0,0.0,True,3,1,42474
16,no_termination,-4.662910461425781,0.0,5,0,0.0,True,2,0,38299
17,no_termination,-3.240985870361328,0.0,5,0,0.0,True,5,0,39884
18,no_termination,-3.2147865295410156,-0.4907722473144531,5,0,0.0,True,2,0,34719
19,no_termination,-4.0125274658203125,0.0,5,0,0.0,True,4,0,36800
20,no_termination,-11.652278900146484,0.00042724609375,5,0,0.0,True,5,0,41413
