case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,no_slip,-3.630192518234253,0.0,5,0,0.0,True,4,0,40024
02,no_slip,-4.767940521240234,-0.0019207000732421875,5,0,0.0,True,5,0,46641
03,no_slip,-3.351963758468628,0.0,5,0,0.0,True,3,0,25910
04,no_slip,-2.1948204040527344,-0.134490966796875,5,0,0.0,True,4,2,43248
05,no_slip,-2.961643934249878,0.0,5,0,0.0,True,3,0,37920
06,no_slip,-1.8745841979980469,0.2900543212890625,5,0,0.0,True,2,1,26655
07,no_slip,-7.051090955734253,0.0,5,0,0.0,True,5,0,25638
08,no_slip,-6.414363861083984,0.0,5,0,0.0,True,4,4,27704
09,no_slip,-1.9912567138671875,-0.017324447631835938,3,0,0.0,True,0,0,29178
10,no_slip,-2.7176666259765625,0.0,3,0,0.0,True,2,0,30326
11,no_slip,-2.4184722900390625,-0.029876708984375,3,0,0.0,True,2,0,20620
12,no_slip,-2.3513641357421875,0.0,3,0,0.0,True,2,0,29067
13,no_slip,-2.8251419067382812,0.0,3,0,0.0,True,2,0,30442
14,no_slip,-3.5911407470703125,0.025491714477539062,5,0,0.0,True,3,0,38660
15,no_slip,-3.257709503173828,0.0,5,0,0.0,True,3,0,40101
16,no_slip,-4.662910461425781,0.0,5,0,0.0,True,3,2,39354
17,no_slip,-3.064361572265625,0.15785598754882812,5,1,0.2,True,4,1,44235
18,no_slip,-2.7787628173828125,3.0517578125e-05,5,0,0.0,True,4,0,41355
19,no_slip,-4.0125885009765625,0.03107452392578125,5,0,0.0,True,4,0,41640
20,no_slip,-11.829994201660156,-0.17771530151367188,5,0,0.0,True,5,0,45292
