case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,one_shot,-3.557255506515503,0.070068359375,1,0,0.0,True,1,0,4278
02,one_shot,-4.342861175537109,0.426177978515625,1,0,0.0,True,1,0,4565
03,one_shot,-3.351963758468628,0.0,1,0,0.0,True,0,0,4523
04,one_shot,-2.2427330017089844,0.012176513671875,1,0,0.0,True,1,0,5135
05,one_shot,-2.842610120773315,0.1190338134765625,1,0,0.0,True,0,0,4586
06,one_shot,,,1,0,0.0,False,0,1,4597
07,one_shot,-6.511173963546753,0.51953125,1,0,0.0,True,1,0,4422
08,one_shot,,,1,0,0.0,False,0,1,4494
09,one_shot,-1.9912567138671875,0.0,1,0,0.0,True,0,0,4559
10,one_shot,-2.7176666259765625,-0.0081405639648437,1,0,0.0,True,0,0,4710
11,one_shot,-2.4184722900390625,-0.0371627807617187,1,0,0.0,True,0,0,4286
12,one_shot,-2.0813217163085938,0.0,1,0,0.0,True,1,0,4705
13,one_shot,-2.8078689575195312,0.01727294921875,1,0,0.0,True,1,0,4786
14,one_shot,-3.4312286376953125,0.159912109375,1,0,0.0,True,0,0,4205
15,one_shot,-2.9636917114257812,0.2940177917480469,1,0,0.0,True,0,0,4756
16,one_shot,-4.662910461425781,-0.3908576965332031,1,0,0.0,True,0,0,5002
17,one_shot,-2.692474365234375,0.5485420227050781,1,0,0.0,True,1,0,4858
18,one_shot,-2.5189666748046875,0.205047607421875,1,0,0.0,True,1,0,4907
19,one_shot,-4.0125274658203125,0.0,1,0,0.0,True,1,0,4601
20,one_shot,-11.652278900146484,0.0,1,0,0.0,True,1,0,5229
