case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,one_shot,-3.619694471359253,0.00384521484375,1,0,0.0,True,1,0,8332
02,one_shot,-4.342861175537109,-0.2071533203125,1,0,0.0,True,1,0,9336
03,one_shot,-3.320255994796753,0.031707763671875,1,0,0.0,True,1,0,5852
04,one_shot,-1.8452110290527344,0.409698486328125,1,0,0.0,True,1,0,8923
05,one_shot,-2.961643934249878,-1.52587890625e-05,1,0,0.0,True,0,0,8396
06,one_shot,,,1,0,0.0,False,0,1,6188
07,one_shot,-6.883122205734253,0.16796875,1,0,0.0,True,1,0,5640
08,one_shot,,,1,0,0.0,False,0,1,5945
09,one_shot,-1.9739322662353516,0.017324447631835938,1,0,0.0,True,0,0,6511
10,one_shot,-2.7176666259765625,0.0,1,0,0.0,True,0,0,9330
11,one_shot,-2.3885955810546875,0.029876708984375,1,0,0.0,True,1,0,6367
12,one_shot,-2.3513641357421875,0.0,1,0,0.0,True,1,0,7664
13,one_shot,-2.8078689575195312,0.01727294921875,1,0,0.0,True,1,0,9619
14,one_shot,-3.2450809478759766,0.34605979919433594,1,0,0.0,True,1,0,6732
15,one_shot,-2.9636917114257812,0.2940177917480469,1,0,0.0,True,0,0,12383
16,one_shot,-4.662910461425781,0.0,1,0,0.0,True,0,0,10149
17,one_shot,-3.064361572265625,-0.19879150390625,1,0,0.0,True,1,0,9081
18,one_shot,-2.5314483642578125,0.597686767578125,1,0,0.0,True,1,0,7614
19,one_shot,-4.0125579833984375,-0.380462646484375,1,0,0.0,True,1,0,7486
20,one_shot,-6.044414520263672,5.6082305908203125,1,0,0.0,True,1,0,8818
