case_id,n_random,status,successful,failed,best_energy,mean_energy,std_energy,wall_clock_sec
01,20,success,20,0,-3.631718397140503,-3.534703016281128,0.09481044182055391,269.1689127534628
02,20,success,20,0,-4.761686325073242,-3.795261764526367,0.7818024465185698,839.5798347443342
04,20,success,20,0,-3.293546676635742,-2.003384017944336,0.823714998360855,702.4864159822464
05,20,success,20,0,-2.965336561203003,-2.6326514720916747,0.31621665245785074,829.0966670885682
09,20,success,20,0,-1.9895267486572266,-1.817428970336914,0.39387735553501757,233.01170326024294
10,20,success,20,0,-2.7149600982666016,-2.4331661224365235,0.5742306732030376,285.75349800661206
12,20,success,20,0,-2.3599796295166016,-2.155804443359375,0.26148396059525125,395.3408663421869
13,20,success,20,0,-2.8251514434814453,-2.6235977172851563,0.21510513235306455,431.8768386207521
14,20,success,20,0,-3.6227664947509766,-3.2025012969970703,0.41351391645134317,403.16573225706816
15,20,success,20,0,-3.001087188720703,-1.6629158020019532,1.1059402728800518,1983.4167208895087
16,20,success,19,1,-6.736865997314453,-2.1488099349172494,1.999830879431858,161.5142482072115
17,20,success,20,0,-3.171344757080078,-2.465856170654297,0.7296627497965028,461.9796016141772
18,20,success,20,0,-3.2130470275878906,-2.2910804748535156,0.7450329691737182,255.93753097578883
19,20,success,20,0,-3.5673561096191406,-2.4420326232910154,0.8845925781040298,467.168649289757
20,20,success,19,1,-13.422286987304688,-7.2249603271484375,3.365330660193251,257.54713194817305
