case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,full,-3.6317179203033447,0.0,5,0,0.0,True,4,0,35177
02,full,-4.765958786010742,0.0,5,0,0.0,True,4,0,38503
09,full,-1.9739322662353516,0.0,3,0,0.0,True,1,0,26737
14,full,-3.6166324615478516,0.0,5,0,0.0,True,3,0,34313
19,full,-4.044700622558594,0.0,3,0,0.0,True,3,0,21384
01,no_slip,-3.6317179203033447,0.0,5,0,0.0,True,4,0,33506
02,no_slip,-4.765958786010742,0.0,5,0,0.0,True,5,0,35712
09,no_slip,-1.9739322662353516,0.0,3,0,0.0,True,1,0,24763
14,no_slip,-3.6166324615478516,0.0,5,0,0.0,True,3,0,34151
19,no_slip,-3.5939178466796875,0.45078277587890625,5,0,0.0,True,4,1,36468
01,no_forbid,-3.6317179203033447,0.0,5,0,0.0,True,4,0,35214
02,no_forbid,-4.759977340698242,0.0059814453125,5,0,0.0,True,4,0,36406
09,no_forbid,-1.9739322662353516,0.0,3,0,0.0,True,1,0,27312
14,no_forbid,-3.6166324615478516,0.0,5,0,0.0,True,3,0,33042
19,no_forbid,-3.5939483642578125,0.45075225830078125,5,0,0.0,True,4,1,38418
01,no_termination,-3.6317179203033447,0.0,5,0,0.0,True,4,0,36283
02,no_termination,-4.765958786010742,0.0,5,0,0.0,True,4,0,37383
09,no_termination,-1.9739322662353516,0.0,3,0,0.0,True,1,0,44624
14,no_termination,-3.6166324615478516,0.0,5,0,0.0,True,3,0,33323
19,no_termination,-4.027214050292969,0.017486572265625,5,0,0.0,True,5,1,38921
01,single_shot,-3.6311686038970947,0.00054931640625,1,0,0.0,True,0,0,6419
02,single_shot,-4.150495529174805,0.6154632568359375,1,0,0.0,True,1,0,6507
09,single_shot,-1.9739322662353516,0.0,1,0,0.0,True,0,0,6511
14,single_shot,-3.2450809478759766,0.371551513671875,1,0,0.0,True,1,0,6732
19,single_shot,-3.5939178466796875,0.45078277587890625,1,0,0.0,True,1,0,6740
